nombre_en_fuente,orcid,publicaciones_de_respaldo,confianza,fuente
Abara J.F.,0000-0001-8190-2361,1,media,OpenAlex
Aceves Álvarez O.,0000-0002-6761-8740,1,media,Crossref
Aedo S.,0000-0001-5567-3374,1,media,Crossref
Aguilar-Risco C.,0009-0003-4455-3889,1,media,ORCID (declarado por el titular)
Allende-Valenzuela T.,0009-0009-2334-0562,2,alta,Crossref
Altamirano M.,0000-0002-4290-4388,1,media,OpenAlex
Amarouch García I.,0000-0003-2444-8179,1,media,Crossref
Andrade Kobayashi M.,0000-0002-6004-1301,1,media,Crossref
Angulo J.,0000-0002-0471-4751,1,media,Crossref
Arauco Rodríguez D.,0009-0003-6405-8316,1,media,Crossref
Arazo-Rusindo M.,0000-0001-7585-7226,1,media,Crossref
Arenas-Massa A.,0000-0003-3188-0189,0,alta,Revisión humana (candidato por afiliación confirmado)
Arenas-Massa Á.,0000-0003-3188-0189,1,media,Crossref
Arregui L.M.D.,0000-0001-7614-456X,1,media,OpenAlex
Arroyo A.,0000-0002-6248-9257,0,alta,Revisión humana (búsqueda manual en el registro)
Ayala M.,0000-0002-9372-1645,1,media,Crossref
Ayares G.,0000-0002-8651-2255,2,alta,Crossref
Balboa E.,0000-0002-8757-436X,1,media,Crossref
Barbieri G.G.,0009-0006-1130-7157,0,alta,Revisión humana (candidato por afiliación confirmado)
Bassa J.C.,0000-0002-2547-0135,1,media,Crossref
Bencina Matus F.,0000-0002-7490-514X,1,media,Crossref
Benites M.,0000-0001-6366-534X,1,media,OpenAlex
Benites M.H.,0000-0001-6366-534X,4,alta,ORCID (declarado por el titular)
Beytia Osses I.,0009-0008-4178-5429,1,media,Crossref
Bilicic D.,0000-0002-1421-8989,1,media,Crossref
Bopp M.-J.,0000-0002-3683-4993,1,media,Crossref
Buchuk P.,0009-0009-8078-2738,1,media,Crossref
Busquets P.,0000-0002-1041-0543,0,alta,Revisión humana (candidato por afiliación confirmado)
Busquets-Losada P.,0000-0002-1041-0543,1,media,Crossref
Bustamante A.,0000-0002-5385-6967,1,media,OpenAlex
Bustos-Arriagada E.,0000-0003-4698-1425,6,alta,Crossref
Bustos-Muñoz D.,0009-0005-5991-8793,1,media,ORCID (declarado por el titular)
Caffarena P.,0000-0002-2609-6413,0,alta,Revisión humana (candidato por afiliación confirmado)
Caffarena-Barcenilla C.,0000-0001-9550-3695,2,alta,Crossref
Cancino J.,0000-0002-1956-7600,1,media,Crossref
Cancino-Lopez J.,0000-0003-3620-9861,1,media,Crossref
Cancino-López J.,0000-0003-3620-9861,5,alta,Crossref
Candell M.B.,0009-0003-4572-490X,1,media,OpenAlex
Candia-Véjar A.,0000-0003-2953-6522,1,media,Crossref
Canihuante C.Z.,0000-0002-6992-2877,1,media,Crossref
Carneiro A.M.Y.,0000-0002-3163-2495,1,media,OpenAlex
Caro J.C.,0009-0005-8002-1366,1,media,Crossref
Carriel-Nesvara A.,0009-0002-0205-4478,3,alta,Crossref
Carrillo D.J.P.,0000-0003-4111-3709,1,media,OpenAlex
Cartaya M.A.,0000-0001-8098-9960,1,media,Crossref
Carvajal C.,0000-0002-1712-7396,2,alta,ORCID (declarado por el titular)
Carvajal G.,0000-0002-5283-2672,1,media,ORCID (declarado por el titular)
Casals M.,0000-0001-6746-4473,2,alta,Crossref
Casals-Hill A.,0000-0001-5940-1050,1,media,Crossref
Casas-Cordero J.P.,0000-0001-9893-022X,1,media,Crossref
Castiglioni C.,0000-0002-1981-7550,2,alta,Crossref
Castillo N.,0000-0002-9377-136X,1,media,OpenAlex
Castillo O.,0000-0002-4411-8655,1,media,Crossref
Castillo-Valenzuela O.,0000-0002-4411-8655,3,alta,Crossref
Castro M.,0000-0002-2270-299X,1,media,Crossref
Castro-Sepulveda M.,0000-0002-2270-299X,3,alta,Crossref
Castro-Sepúlveda M.,0000-0002-2270-299X,4,alta,ORCID (declarado por el titular)
Catalán C.,0000-0001-9898-3727,1,media,Crossref
Cavada G.,0000-0002-3558-0266,1,media,Crossref
Ceron M.L.,0000-0001-8662-8189,2,alta,ORCID (declarado por el titular)
Cerón M.L.,0000-0001-8662-8189,1,media,ORCID (declarado por el titular)
Chavez-Reyes A.,0000-0002-6655-815X,2,alta,ORCID (declarado por el titular)
Colihuinca T.O.,0009-0000-1598-1671,1,media,OpenAlex
Coloma C.R.-T.,0009-0008-2384-6611,1,media,Crossref
Contreras-Contreras G.,0009-0001-7376-4656,1,media,Crossref
Cortina A.H.,0000-0003-3091-5386,4,alta,OpenAlex
Cottin M.,0000-0002-9460-7190,1,media,Crossref
Crisóstomo Flores P.,0000-0002-9761-2112,1,media,ORCID (declarado por el titular)
Crisóstomo-Flores P.,0000-0002-9761-2112,1,media,Crossref
Cárdenas D.C.,0000-0002-6533-3266,1,media,OpenAlex
Cárdenas Larenas J.P.,0009-0001-5706-8570,1,media,Crossref
De la Fuente M.,0000-0003-0577-7604,1,media,Crossref
Diaz F.,0000-0003-4763-074X,2,alta,Crossref
Diaz-Pizarro M.,0009-0008-1626-6707,1,media,ORCID (declarado por el titular)
Dominguez A.,0000-0002-4277-3445,1,media,OpenAlex
Dreyse J.,0000-0002-8201-5956,16,alta,OpenAlex
Duarte L.,0000-0001-8893-4569,1,media,ORCID (declarado por el titular)
Dávila C.M.,0000-0002-6357-3469,3,alta,OpenAlex
Díaz F.,0000-0003-4763-074X,8,alta,Crossref
Díaz-Castro F.,0000-0003-1644-8742,1,media,Crossref
Díaz-Galaz L.,0000-0001-7439-4346,0,alta,Revisión humana (candidato por afiliación confirmado)
Elorrieta V.,0000-0003-1268-9784,1,media,Crossref
Elton Í.A.G.,0009-0008-4866-4988,1,media,OpenAlex
Escobar-González S.,0000-0003-2786-1487,0,alta,Revisión humana (candidato por afiliación confirmado)
Esis Villarroel I.S.,0000-0002-2379-8380,1,media,Crossref
Etchegaray-Armijo K.,0000-0002-8536-3729,1,media,Crossref
Farsani D.,0000-0002-9412-3161,2,alta,Crossref
Faúndez M.O.,0000-0002-0158-6651,1,media,Crossref
Fermín-González M.,0000-0003-1050-7799,1,media,Crossref
Fernández-Verdejo R.,0000-0002-5948-2281,10,alta,Crossref
Ferre A.,0000-0003-1770-244X,2,alta,Crossref
Ferre Contreras A.,0000-0003-1770-244X,0,alta,Revisión humana (candidato por afiliación confirmado)
Festa R.R.,0000-0003-4757-483X,1,media,ORCID (declarado por el titular)
Figueroa D.,0000-0003-2118-9159,2,alta,OpenAlex
Figueroa F.C.,0000-0002-1280-9742,1,media,Crossref
Figueroa-Bustos A.,0000-0002-1748-1037,1,media,ORCID (declarado por el titular)
Figueroa-Moya D.,0000-0003-2118-9159,1,media,Crossref
Flores P.C.,0000-0002-9761-2112,2,alta,OpenAlex
Flores-Opazo M.,0000-0001-8743-1708,1,media,Crossref
Fortuny E.,0000-0002-0864-5669,1,media,ORCID (declarado por el titular)
Foxley V.G.,0000-0003-2175-2941,1,media,Crossref
Fuente M.D.L.,0000-0003-0577-7604,1,media,OpenAlex
Gaete M.,0000-0003-1846-2417,1,media,Crossref
Galaz M.T.V.,0009-0005-9063-7439,1,media,OpenAlex
Galleguillos R.,0000-0001-6065-5218,2,alta,Crossref
Galleguillos R.B.,0000-0001-6065-5218,1,media,Crossref
García F.,0000-0002-9548-5252,1,media,OpenAlex
García I.A.,0000-0003-2444-8179,1,media,OpenAlex
García-Matte N.,0000-0001-8712-0408,2,alta,ORCID (declarado por el titular)
García-Meneses C.,0009-0006-4302-5007,1,media,Crossref
Giglio A.,0000-0002-0533-4531,10,alta,Crossref
Giglio Jimenez A.,0000-0002-0533-4531,2,alta,Crossref
Giglio Jiménez A.,0000-0002-0533-4531,1,media,Crossref
Giordanino E.,0000-0001-7380-4753,0,alta,Revisión humana (candidato por afiliación confirmado)
Giordanino E.F.,0000-0001-7380-4753,0,alta,Revisión humana (candidato por afiliación confirmado)
Godoy-Torres V.,0000-0002-7893-0940,1,media,Crossref
Gonzalez-Valderrama A.,0000-0003-4716-4021,5,alta,OpenAlex
González A.,0000-0002-6139-4299,3,alta,OpenAlex
González-Hernández J.,0000-0003-3835-7104,1,media,OpenAlex
González-Valderrama A.,0000-0003-4716-4021,2,alta,OpenAlex
Guardia Castro D.,0000-0002-9959-2856,1,media,Crossref
Gubbins V.,0000-0003-2175-2941,2,alta,Crossref
Gubbins-Foxley V.,0000-0003-2175-2941,1,media,Crossref
Guevara E.,0009-0000-1595-9044,2,alta,Crossref
Gálvez M.,0000-0002-8638-5268,1,media,Crossref
