nombre_en_fuente,orcid,veredicto,detalle,dois_atribuidos,dois_en_registro,dois_coincidentes,afiliacion_institucional_declarada,afiliaciones_declaradas,fecha_consulta
Aceves Álvarez O.,0000-0002-6761-8740,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,5,1,True,Universidad Andrés Bello | Universidad de Las Américas | Universidad Tecnológica Metropolitana | Universidad Finis Terrae | Pontificia Universidad Católica de Chile,2026-08-04
Aedo S.,0000-0001-5567-3374,confirmada,1 de 6 DOI atribuidos aparecen en el registro del titular,6,4,1,True,Universidad Finis Terrae,2026-08-04
Aguilar-Risco C.,0009-0003-4455-3889,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,1,1,False,Universidad San Sebastián | Austral University of Chile,2026-08-04
Allende-Valenzuela T.,0009-0009-2334-0562,confirmada,2 de 2 DOI atribuidos aparecen en el registro del titular,2,4,2,True,Universidad San Sebastián Facultad de Odontología y Ciencias de la Rehabilitación | Universidad Finis Terrae | Universidad Diego Portales | Universidad Católica Cardenal Raúl Silva Henriquez - Campus Lo Cañas,2026-08-04
Amarouch García I.,0000-0003-2444-8179,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,6,1,True,Finis Terrae University,2026-08-04
Andrade Kobayashi M.,0000-0002-6004-1301,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,12,1,False,,2026-08-04
Angulo J.,0000-0002-0471-4751,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,27,1,False,Pontificia Universidad Católica de Chile,2026-08-04
Arauco Rodríguez D.,0009-0003-6405-8316,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,1,1,False,Hospital San Juan de Dios,2026-08-04
Arazo-Rusindo M.,0000-0001-7585-7226,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,14,1,False,Universidad Santo Tomás | Pontificia Universidad Católica de Chile Sede San Joaquín | Universidad Tecnológica Metropolitana | Universidad de La Habana,2026-08-04
Arenas-Massa Á.,0000-0003-3188-0189,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,19,1,True,Universidad de Talca | Universidad Finis Terrae | Finis Terrae University,2026-08-04
Ayala M.,0000-0002-9372-1645,confirmada,1 de 2 DOI atribuidos aparecen en el registro del titular,2,4,1,False,,2026-08-04
Ayares G.,0000-0002-8651-2255,confirmada,2 de 2 DOI atribuidos aparecen en el registro del titular,2,18,2,False,,2026-08-04
Balboa E.,0000-0002-8757-436X,confirmada,4 de 5 DOI atribuidos aparecen en el registro del titular,5,13,4,False,,2026-08-04
Bassa J.C.,0000-0002-2547-0135,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,1,1,True,Finis Terrae University,2026-08-04
Bencina Matus F.,0000-0002-7490-514X,no_verificable,el titular no declara ninguna obra con DOI en su registro,1,0,0,False,,2026-08-04
Benites M.H.,0000-0001-6366-534X,confirmada,4 de 5 DOI atribuidos aparecen en el registro del titular,5,7,4,False,Clínica Las Condes,2026-08-04
Beytia Osses I.,0009-0008-4178-5429,no_verificable,el titular no declara ninguna obra con DOI en su registro,1,0,0,False,Universidad de Chile,2026-08-04
Bilicic D.,0000-0002-1421-8989,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,7,1,False,,2026-08-04
Bopp M.-J.,0000-0002-3683-4993,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,2,1,False,Universitat Politècnica de Catalunya | Southern Unreality SpA | PatagoniaGeeks,2026-08-04
Buchuk P.,0009-0009-8078-2738,no_verificable,el titular no declara ninguna obra con DOI en su registro,2,0,0,False,,2026-08-04
Busquets-Losada P.,0000-0002-1041-0543,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,2,1,True,Universidad Finis Terrae,2026-08-04
Bustos-Arriagada E.,0000-0003-4698-1425,confirmada,8 de 10 DOI atribuidos aparecen en el registro del titular,10,22,8,True,Universidad Finis Terrae,2026-08-04
Bustos-Muñoz D.,0009-0005-5991-8793,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,2,1,True,Universidad Finis Terrae,2026-08-04
Caffarena-Barcenilla C.,0000-0001-9550-3695,confirmada,2 de 2 DOI atribuidos aparecen en el registro del titular,2,3,2,True,Finis Terrae University,2026-08-04
Cancino J.,0000-0002-1956-7600,confirmada,2 de 5 DOI atribuidos aparecen en el registro del titular,5,3,2,False,,2026-08-04
Cancino-Lopez J.,0000-0003-3620-9861,confirmada,1 de 4 DOI atribuidos aparecen en el registro del titular,4,11,1,True,Universidad Finis Terrae Escuela de Kinesiología,2026-08-04
Cancino-López J.,0000-0003-3620-9861,confirmada,4 de 8 DOI atribuidos aparecen en el registro del titular,8,11,4,True,Universidad Finis Terrae Escuela de Kinesiología,2026-08-04
Candia-Véjar A.,0000-0003-2953-6522,confirmada,1 de 2 DOI atribuidos aparecen en el registro del titular,2,27,1,True,Universidad Finis Terrae | Universidad de Talca,2026-08-04
Canihuante C.Z.,0000-0002-6992-2877,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,7,1,False,,2026-08-04
Caro J.C.,0009-0005-8002-1366,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,3,1,True,Universidad Finis Terrae,2026-08-04
Carriel-Nesvara A.,0009-0002-0205-4478,confirmada,3 de 3 DOI atribuidos aparecen en el registro del titular,3,3,3,True,Finis Terrae University,2026-08-04
Cartaya M.A.,0000-0001-8098-9960,no_verificable,el titular no declara ninguna obra con DOI en su registro,1,0,0,False,,2026-08-04
Carvajal C.,0000-0002-1712-7396,confirmada,3 de 5 DOI atribuidos aparecen en el registro del titular,5,19,3,True,"Universidad del Desarrollo | Centro Médico de Diabetes, Obesidad y Especialidades (CEMDOE) | Finis Terrae University",2026-08-04
Carvajal G.,0000-0002-5283-2672,confirmada,1 de 4 DOI atribuidos aparecen en el registro del titular,4,7,1,True,Universidad Finis Terrae,2026-08-04
Casals M.,0000-0001-6746-4473,confirmada,3 de 3 DOI atribuidos aparecen en el registro del titular,3,21,3,True,Universidad Finis Terrae | Freie Universität Berlin | Universidad Adolfo Ibáñez,2026-08-04
Casals-Hill A.,0000-0001-5940-1050,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,7,1,True,Finis Terrae University | Pontificia Universidad Católica de Chile,2026-08-04
