forma_de_firma,scopus_author_ids,n_scopus_ids,orcid_master,orcid_detallado,orcid_fuente,orcid_confianza,n_publicaciones,unidades,n_unidades,confianza_max,identidad_grupo,identidad_origen
Orellana-Donoso M.,57219486372,1,,0000-0002-1781-062X,Crossref,alta,34,Facultad de Medicina y Salud,1,alta,Orellana-Donoso M.,humana
Mujika I.,55942910500,1,,0000-0002-8143-9132,Crossref,alta,30,Escuela de Kinesiología|Facultad de Medicina y Salud,2,alta,,
Ferre A.,57196003508,1,,0000-0003-1770-244X,Crossref,alta,25,Facultad de Medicina y Salud,1,alta,,
Mariotti-Celis M.S.,55386795700,1,,0000-0003-1357-812X,Crossref,alta,22,Escuela de Nutrición y Dietética|Facultad de Medicina y Salud,2,alta,,
Giglio A.,58509256700,1,,0000-0002-0533-4531,Crossref,alta,21,Facultad de Medicina y Salud,1,alta,Giglio Jiménez A.,humana
Fernández-Verdejo R.,56109554200,1,,0000-0002-5948-2281,Crossref,alta,20,Facultad de Medicina y Salud,1,alta,,
Yanine F.F.,55785548400,1,,0000-0003-1086-0840,ORCID (declarado por el titular),alta,17,Facultad de Ingeniería,1,alta,,
Dreyse J.,55664536400,1,,0000-0002-8201-5956,OpenAlex,alta,16,Facultad de Medicina y Salud,1,alta,,
Strauss F.J.,57130416100,1,,0000-0002-5832-7327,Crossref,alta,14,Facultad de Medicina y Salud,1,alta,Strauss F.J.,humana
Díaz F.,35195498000|57202322088|57220839793,3,,0000-0003-4763-074X,Crossref,alta,14,Facultad de Medicina y Salud,1,alta,Díaz F.,humana
Farsani D.,57191268752,1,,0000-0002-9412-3161,Crossref,alta,14,Facultad de Educación y Ciencias Sociales,1,alta,,
Simón L.,55554207700,1,,0000-0002-0130-3519,Crossref,alta,12,Escuela de Nutrición y Dietética|Facultad de Medicina y Salud,2,alta,,
Zbinden-Foncea H.,23010885100,1,,0000-0002-9643-1037,Crossref,alta,11,Facultad de Medicina y Salud,1,alta,,
Bustos-Arriagada E.,57189844110,1,,0000-0003-4698-1425,Crossref,alta,10,Escuela de Nutrición y Dietética|Facultad de Medicina y Salud,2,alta,,
López-Arana S.,23089038400,1,,0000-0002-4312-1318,Crossref,alta,10,Escuela de Nutrición y Dietética|Facultad de Medicina y Salud,2,alta,López-Arana S.,mixta
Yanine F.,55785548400,1,,0000-0003-1086-0840,Crossref,alta,9,Facultad de Ingeniería,1,alta,,
Hidalgo M.,57197246518,1,,0000-0003-3191-3673,Crossref,alta,9,Facultad de Ingeniería,1,alta,,
Cancino-López J.,36996964200,1,,0000-0003-3620-9861,Crossref,alta,8,Escuela de Kinesiología|Facultad de Medicina y Salud,2,alta,Cancino-López J.,humana
Hartmann D.,58612624500,1,,0000-0002-7140-4294,Crossref,alta,8,Facultad de Medicina y Salud,1,alta,Hartmann D.,humana
Castro-Sepulveda M.,56076763200,1,,0000-0002-2270-299X,Crossref,alta,8,Escuela de Kinesiología|Facultad de Medicina y Salud,2,alta,Castro-Sepúlveda M.,humana
Reccius A.,24402097000,1,,0009-0004-3236-3030,OpenAlex,alta,8,Facultad de Medicina y Salud,1,alta,,
Montalva-Valenzuela F.,57435081700,1,,0000-0003-0004-3089,Crossref,alta,7,Escuela de Kinesiología|Facultad de Medicina y Salud,2,alta,,
Puyol F.,58675515500,1,,0000-0002-2161-5894,Crossref,alta,7,Facultad de Educación y Ciencias Sociales,1,alta,,
Landskron G.,54929856000,1,,0000-0002-7953-6769,Revisión humana (candidato por afiliación confirmado),alta,7,Facultad de Medicina y Salud,1,alta,,
Castro-Sepúlveda M.,56076763200,1,,0000-0002-2270-299X,ORCID (declarado por el titular),alta,7,Facultad de Medicina y Salud,1,alta,Castro-Sepúlveda M.,humana
Diaz F.,35195498000,1,,0000-0003-4763-074X,Crossref,alta,7,Facultad de Medicina y Salud,1,alta,Díaz F.,humana
Valle M.A.,55100663900,1,,0000-0003-1362-2776,Crossref,alta,6,Facultad de Economía y Negocios,1,alta,,
Muzard A.,57193623305,1,,0000-0002-3803-1983,Crossref,alta,6,Facultad de Educación y Ciencias Sociales,1,alta,,
Pedreros C.,16745083000,1,,,,,6,No determinada,0,alta,,
Gonzalez-Valderrama A.,56586062200,1,,0000-0003-4716-4021,OpenAlex,alta,6,Facultad de Medicina y Salud,1,alta,González-Valderrama A.,ortografica
Henriquez-Olguin C.,35102305800,1,,0000-0002-9315-9365,Crossref,alta,6,Facultad de Medicina y Salud,1,alta,Henríquez-Olguín C.,ortografica
Aedo S.,6506912454,1,,0000-0001-5567-3374,Crossref,media,6,Facultad de Medicina y Salud,1,alta,,
Jorquera J.,12765789400,1,,0000-0003-4348-8678,OpenAlex,alta,5,Facultad de Medicina y Salud,1,alta,,
Mena C.,56585638200|57323016400|59753597800,3,,0000-0003-1906-1156,Crossref,media,5,Escuela de Nutrición y Dietética|Facultad de Medicina y Salud,2,alta,,
Salas-Guzmán N.,57193774407,1,,,,,5,No determinada,0,alta,,
