tipo,severidad,clave,nombre_en_fuente,detalle,consecuencia,resolucion,en_poblacion_uft,coocurren_en_publicaciones,n_publicaciones_sin_otra_deteccion
P-03_variantes_de_nombre,alta,arenasmassa,Arenas-Massa Á.,Arenas-Massa A.|Arenas-Massa Á.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,arenasmassa,Arenas-Massa A.,Arenas-Massa A.|Arenas-Massa Á.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,avilesdorlhiac,Avilés-Dorlhiac R.,Avilès Dorlhiac R.|Avilés-Dorlhiac R.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,avilesdorlhiac,Avilès Dorlhiac R.,Avilès Dorlhiac R.|Avilés-Dorlhiac R.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,ballesteros,Ballesteros P.,Ballesteros P.|Ballesteros P. P.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,ballesteros,Ballesteros P. P.,Ballesteros P.|Ballesteros P. P.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,caffarenabarcenilla,Caffarena-Barcenilla C.,Caffarena Barcenilla P.|Caffarena-Barcenilla C.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,caffarenabarcenilla,Caffarena Barcenilla P.,Caffarena Barcenilla P.|Caffarena-Barcenilla C.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,cancinolopez,Cancino-López J.,Cancino-Lopez J.|Cancino-López J.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,cancinolopez,Cancino-Lopez J.,Cancino-Lopez J.|Cancino-López J.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,carvajal,Carvajal C.,Carvajal C.|Carvajal G.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,carvajal,Carvajal G.,Carvajal C.|Carvajal G.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,castillo,Castillo O.,Castillo N.|Castillo O.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,castillo,Castillo N.,Castillo N.|Castillo O.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,castillovalenzuela,Castillo-Valenzuela O.,Castillo Valenzuela O.|Castillo-Valenzuela O.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,castillovalenzuela,Castillo Valenzuela O.,Castillo Valenzuela O.|Castillo-Valenzuela O.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,castrosepulveda,Castro-Sepulveda M.,Castro-Sepulveda M.|Castro-Sepúlveda M.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,castrosepulveda,Castro-Sepúlveda M.,Castro-Sepulveda M.|Castro-Sepúlveda M.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,ceronml,Ceron M.L.,Ceron M.L.|Cerón M.L.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,ceronml,Cerón M.L.,Ceron M.L.|Cerón M.L.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,crisostomoflores,Crisóstomo Flores P.,Crisóstomo Flores P.|Crisóstomo-Flores P.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,crisostomoflores,Crisóstomo-Flores P.,Crisóstomo Flores P.|Crisóstomo-Flores P.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,dela,De la Fuente López M.,De la Fuente López M.|De la Fuente M.|De la fuente López M.|de la Cruz P.S.|de la Fuente M.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,dela,De la Fuente M.,De la Fuente López M.|De la Fuente M.|De la fuente López M.|de la Cruz P.S.|de la Fuente M.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,dela,de la Fuente M.,De la Fuente López M.|De la Fuente M.|De la fuente López M.|de la Cruz P.S.|de la Fuente M.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,dela,de la Cruz P.S.,De la Fuente López M.|De la Fuente M.|De la fuente López M.|de la Cruz P.S.|de la Fuente M.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,dela,De la fuente López M.,De la Fuente López M.|De la Fuente M.|De la fuente López M.|de la Cruz P.S.|de la Fuente M.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,diaz,Díaz F.,Diaz F.|Díaz F.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
