tipo,severidad,eid,anio,detalle,consecuencia,resolucion
X-01_solo_en_scopus,alta,2-s2.0-105032964720,2025,IMPROVING SAFETY SYSTEM RELIABILITY THROUGH AUTONOMOUS NEUTRALIZATION FOR NEXT-GENERATION LAUNCH VEHICLES,sin FWCI ni clasificación temática; excluida de indicadores de impacto normalizado,PENDIENTE_REVISION_HUMANA
X-01_solo_en_scopus,alta,2-s2.0-105044988818,2024,Conversatio nostra in caelis. Friendly conversation as perfection of the intellect according to Thomas Aquinas; [Conversatio nostra in caelis. La conv,sin FWCI ni clasificación temática; excluida de indicadores de impacto normalizado,PENDIENTE_REVISION_HUMANA
X-01_solo_en_scopus,alta,2-s2.0-105045176079,2025,Care as Friendship from the Nichomachean Ethics; [El cuidado como amistad desde la Ética a Nicómaco],sin FWCI ni clasificación temática; excluida de indicadores de impacto normalizado,PENDIENTE_REVISION_HUMANA
X-01_solo_en_scopus,alta,2-s2.0-105045560615,2023,"Stories of Initiates: The Lived Experience of Female Social Workers in the Implementation of the Welfare State in Chile, 1925–1950",sin FWCI ni clasificación temática; excluida de indicadores de impacto normalizado,PENDIENTE_REVISION_HUMANA
X-01_solo_en_scopus,alta,2-s2.0-85179101235,2023,RULE OF LAW: A CRITICAL EVALUATION; [LOS ESTÁNDARES INTERAMERICANOS DE DERECHOS HUMANOS Y EL ESTADO DE DERECHO: UNA EVALUACIÓN CRÍTICA],sin FWCI ni clasificación temática; excluida de indicadores de impacto normalizado,PENDIENTE_REVISION_HUMANA
X-01_solo_en_scopus,alta,2-s2.0-85187884272,2024,Novel Strategies to Improve the Cardioprotective Effects of Cardioplegia,sin FWCI ni clasificación temática; excluida de indicadores de impacto normalizado,PENDIENTE_REVISION_HUMANA
X-01_solo_en_scopus,alta,2-s2.0-85197271178,2024,Reference for the six minutes’ walk test for children 4 to 10 years old; [Referencia del test de caminata de seis minutos para niños de 4 a 10 años],sin FWCI ni clasificación temática; excluida de indicadores de impacto normalizado,PENDIENTE_REVISION_HUMANA
X-01_solo_en_scival,alta,2-s2.0-105003482174,2025,Severe obesity and menopause symptoms are associated with cognitive impairment in postmenopausal women from Latin America,sin detalle de autoría; no atribuible a autores UFT,PENDIENTE_REVISION_HUMANA
X-01_solo_en_scival,alta,2-s2.0-85161259618,2023,Initial Teachers’ Education Based on the Practicum: The Reflective Academy as a Fundamental Praxis for Teachers’ Education,sin detalle de autoría; no atribuible a autores UFT,PENDIENTE_REVISION_HUMANA
X-01_solo_en_scival,alta,2-s2.0-85194763042,2024,EV Battery Charging System,sin detalle de autoría; no atribuible a autores UFT,PENDIENTE_REVISION_HUMANA
X-01_solo_en_scival,alta,2-s2.0-85197356033,2024,Association of muscle disorders in late postmenopausal women according to the type of experienced menopause,sin detalle de autoría; no atribuible a autores UFT,PENDIENTE_REVISION_HUMANA
X-01_solo_en_scival,alta,2-s2.0-85201395771,2024,Severe menopausal symptoms linked to cognitive impairment: An exploratory study,sin detalle de autoría; no atribuible a autores UFT,PENDIENTE_REVISION_HUMANA
P-01_duplicado_probable_por_titulo,alta,2-s2.0-85211925904,2025,Creatine Supplementation Prior to Strength Exercise Training is Not Superior in Preventing Muscle Ma | tipo=Letter | doi=10.1007/s11695-024-07630-6,agrupado con ['2-s2.0-85203352103'],NO_RESOLVER_AUTOMATICAMENTE
P-01_duplicado_probable_por_titulo,alta,2-s2.0-85203352103,2024,Creatine Supplementation Prior to Strength Exercise Training Is Not Superior in Preventing Muscle Ma | tipo=Article | doi=10.1007/s11695-024-07451-7,agrupado con ['2-s2.0-85211925904'],NO_RESOLVER_AUTOMATICAMENTE
