nombre_en_fuente,escuela_declarada_en_autoarchivo,nombre_en_autoarchivo,obras_con_esta_escuela,escuelas_distintas_para_esta_firma,resolucion
Allende-Valenzuela T.,Educación parvularia,"Allende-Valenzuela, Tamara",1,2,PENDIENTE_REVISION_HUMANA
Allende-Valenzuela T.,CIPEF,"Allende-Valenzuela, Tamara",1,2,PENDIENTE_REVISION_HUMANA
Andrade Kobayashi M.,Literatura,"Andrade Kobayashi, Megumi",2,2,PENDIENTE_REVISION_HUMANA
Andrade Kobayashi M.,Arte,"Andrade Kobayashi, Megumi",1,2,PENDIENTE_REVISION_HUMANA
Arenas-Massa Á.,Derecho,"Arenas Massa, Ángela",10,1,PENDIENTE_REVISION_HUMANA
Arroyo A.,Medicina,"Arroyo, Antonio",2,1,PENDIENTE_REVISION_HUMANA
Benites M.,Medicina,"Benites, Martín Hernán",5,1,PENDIENTE_REVISION_HUMANA
Bustos-Muñoz D.,Publicidad,"Bustos Muñoz, David",2,1,PENDIENTE_REVISION_HUMANA
Caffarena P.,CIDOC,"Caffarena, Paula",7,1,PENDIENTE_REVISION_HUMANA
Caffarena-Barcenilla C.,Educación parvularia,"Caffarena-Barcenilla, Carolina",2,1,PENDIENTE_REVISION_HUMANA
Cancino J.,Kinesiología,"Cancino, Jorge",11,2,PENDIENTE_REVISION_HUMANA
Cancino J.,Enfermería,"Cancino, Jorge",1,2,PENDIENTE_REVISION_HUMANA
Carvajal G.,CIDOC,"Carvajal, Gustavo",1,2,PENDIENTE_REVISION_HUMANA
Carvajal G.,Literatura,"Carvajal, Gustavo",3,2,PENDIENTE_REVISION_HUMANA
Chavez-Reyes A.,Medicina,"Chávez-Reyes, Arturo",5,1,PENDIENTE_REVISION_HUMANA
Cottin M.,Psicología,"Cottin, Marianne",3,1,PENDIENTE_REVISION_HUMANA
Crisóstomo Flores P.,Periodismo,"Crisóstomo-Flores, Paz",12,1,PENDIENTE_REVISION_HUMANA
Crisóstomo-Flores P.,Periodismo,"Crisóstomo-Flores, Paz",12,1,PENDIENTE_REVISION_HUMANA
