nombre_en_fuente,orcid,nombre_en_dspace,tipos_de_obra,obras_del_titular_en_el_inventario,orcid_reclamado_por_n_firmas,tipo,severidad,consecuencia,resolucion
Carrasco G.,0009-0001-5917-5361,"Carrasco, Gonzalo Purull",Artículo de revista,1,1,dspace_candidato_por_nombre,media,"coincide el nombre en el repositorio institucional, pero sin publicación en común que lo respalde",PENDIENTE_REVISION_HUMANA
Carrasco G.,0000-0003-4498-3013,"Carrasco, Gonzalo Purull",Artículo de revista,1,1,dspace_candidato_por_nombre,media,"coincide el nombre en el repositorio institucional, pero sin publicación en común que lo respalde",PENDIENTE_REVISION_HUMANA
Donoso M.O.,0009-0000-6391-9012,"Donoso, Melanie||Fredes, Fernanda||Crisóstomo-Flores, Paz",Article,1,1,dspace_candidato_por_nombre,media,"coincide el nombre en el repositorio institucional, pero sin publicación en común que lo respalde",PENDIENTE_REVISION_HUMANA
Donoso M.O.,0009-0004-5646-5146,"Donoso, Melanie||Fredes, Fernanda||Crisóstomo-Flores, Paz",Article,1,1,dspace_candidato_por_nombre,media,"coincide el nombre en el repositorio institucional, pero sin publicación en común que lo respalde",PENDIENTE_REVISION_HUMANA
Donoso M.O.,0000-0002-9761-2112,"Donoso, Melanie||Fredes, Fernanda||Crisóstomo-Flores, Paz",Article,1,1,dspace_candidato_por_nombre,media,"coincide el nombre en el repositorio institucional, pero sin publicación en común que lo respalde",PENDIENTE_REVISION_HUMANA
Díaz-Galaz L.,0000-0001-7439-4346,"Díaz-Galaz, Lorena",Article,1,1,dspace_candidato_por_nombre,media,"coincide el nombre en el repositorio institucional, pero sin publicación en común que lo respalde",PENDIENTE_REVISION_HUMANA
Figueroa-Toledo A.M.,0000-0002-9643-1037,"Figueroa-Toledo, A. M.",Article,1,2,dspace_candidato_por_nombre,media,"coincide el nombre en el repositorio institucional, pero sin publicación en común que lo respalde",PENDIENTE_REVISION_HUMANA
Figueroa-Toledo A.M.,0000-0002-2270-299X,"Figueroa-Toledo, A. M.",Article,1,2,dspace_candidato_por_nombre,media,"coincide el nombre en el repositorio institucional, pero sin publicación en común que lo respalde",PENDIENTE_REVISION_HUMANA
González I.,0000-0002-8326-9800,"González, Ignacia",Article,2,1,dspace_candidato_por_nombre,media,"coincide el nombre en el repositorio institucional, pero sin publicación en común que lo respalde",PENDIENTE_REVISION_HUMANA
Letelier Widow G.,0000-0002-1625-2216,"Letelier Widow, Gonzalo",Artículo,1,1,dspace_candidato_por_nombre,media,"coincide el nombre en el repositorio institucional, pero sin publicación en común que lo respalde",PENDIENTE_REVISION_HUMANA
Marrugo N.,0000-0001-7380-4753,"Marrugo, Neguith",Article,1,1,dspace_candidato_por_nombre,media,"coincide el nombre en el repositorio institucional, pero sin publicación en común que lo respalde",PENDIENTE_REVISION_HUMANA
Morales Sepúlveda J.P.,0000-0002-7304-5256,"Morales Sepúlveda, Juan Pablo",Article,2,2,dspace_candidato_por_nombre,media,"coincide el nombre en el repositorio institucional, pero sin publicación en común que lo respalde",PENDIENTE_REVISION_HUMANA
Morales-Sepulveda J.P.,0000-0002-7304-5256,"Morales Sepúlveda, Juan Pablo",Article,2,2,dspace_candidato_por_nombre,media,"coincide el nombre en el repositorio institucional, pero sin publicación en común que lo respalde",PENDIENTE_REVISION_HUMANA
Olive F.,0009-0000-0892-6746,"Olive, Fernanda",Article,2,1,dspace_candidato_por_nombre,media,"coincide el nombre en el repositorio institucional, pero sin publicación en común que lo respalde",PENDIENTE_REVISION_HUMANA
Olive F.,0000-0002-0533-4531,"Olive, Fernanda",Article,1,3,dspace_candidato_por_nombre,media,"coincide el nombre en el repositorio institucional, pero sin publicación en común que lo respalde",PENDIENTE_REVISION_HUMANA
Olive F.,0009-0005-8141-8912,"Olive, Fernanda",Article,1,1,dspace_candidato_por_nombre,media,"coincide el nombre en el repositorio institucional, pero sin publicación en común que lo respalde",PENDIENTE_REVISION_HUMANA
Pedreros C.,0000-0003-1770-244X,"Pedreros, Cesar",Article,1,1,dspace_candidato_por_nombre,media,"coincide el nombre en el repositorio institucional, pero sin publicación en común que lo respalde",PENDIENTE_REVISION_HUMANA
Pedreros C.,0000-0002-0533-4531,"Pedreros, Cesar",Article,1,3,dspace_candidato_por_nombre,media,"coincide el nombre en el repositorio institucional, pero sin publicación en común que lo respalde",PENDIENTE_REVISION_HUMANA
Pino-Zuñiga J.,0000-0003-3620-9861,"Pino Zúñiga, Johanna",Article,2,2,dspace_candidato_por_nombre,media,"coincide el nombre en el repositorio institucional, pero sin publicación en común que lo respalde",PENDIENTE_REVISION_HUMANA
Pino-Zúñiga J.,0000-0003-3620-9861,"Pino Zúñiga, Johanna",Article,2,2,dspace_candidato_por_nombre,media,"coincide el nombre en el repositorio institucional, pero sin publicación en común que lo respalde",PENDIENTE_REVISION_HUMANA
Rodríguez I.,0009-0009-8381-9217,"Rodríguez, Ivan",Article,1,1,dspace_candidato_por_nombre,media,"coincide el nombre en el repositorio institucional, pero sin publicación en común que lo respalde",PENDIENTE_REVISION_HUMANA
Rodríguez I.,0000-0002-9643-1037,"Rodríguez, Ivan",Article,1,2,dspace_candidato_por_nombre,media,"coincide el nombre en el repositorio institucional, pero sin publicación en común que lo respalde",PENDIENTE_REVISION_HUMANA
Rodríguez I.,0000-0002-2270-299X,"Rodríguez, Ivan",Article,1,2,dspace_candidato_por_nombre,media,"coincide el nombre en el repositorio institucional, pero sin publicación en común que lo respalde",PENDIENTE_REVISION_HUMANA
Salas-Guzmán N.,0000-0001-8815-5979,"Salas-Guzmán, Natalia",s/d,2,1,dspace_candidato_por_nombre,media,"coincide el nombre en el repositorio institucional, pero sin publicación en común que lo respalde",PENDIENTE_REVISION_HUMANA
Vergara K.,0000-0002-0533-4531,"Vergara, Karen",Article,1,3,dspace_candidato_por_nombre,media,"coincide el nombre en el repositorio institucional, pero sin publicación en común que lo respalde",PENDIENTE_REVISION_HUMANA
