eid,anio,posicion_autor,n_autores_total,nombre_en_fuente,clave_normalizada,clave_apellido,afiliacion_declarada_raw,unidad_academica_raw,unidad_academica,metodo_blando,metodo_duro_publicacion,confianza
2-s2.0-105004998221,2025,3,3,Yanine F.F.,yanine ff,yanineff,"Faculty of Engineering, Universidad Finis Terrae, Providencia, Santiago, Chile",Faculty of Engineering,Facultad de Ingeniería,True,True,alta
2-s2.0-105009012247,2025,11,14,Orellana-Donoso M.,orellana donoso m,orellanadonoso,"Escuela de Medicina, Universidad Finis Terrae, Santiago, 7501015, Chile, Faculty of Medicine and Science, Universidad San Sebastián, Santiago, 8420524, Chile",Escuela de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-105019250134,2025,1,4,Vergara K.,vergara k,vergara,"Rheumatology Unit, Clinica Las Condes Hospital, Santiago, Chile, Critical Care Department, Clinica Las Condes Hospital, Santiago, Chile, Faculty of Medicine, Finis Terrae University Faculty of Medicine, Santiago, Chile",Faculty of Medicine,Facultad de Medicina y Salud,True,True,alta
2-s2.0-105019250134,2025,4,4,Giglio A.,giglio a,giglio,"Critical Care Department, Clinica Las Condes Hospital, Santiago, Chile, Faculty of Medicine, Finis Terrae University Faculty of Medicine, Santiago, Chile",Faculty of Medicine,Facultad de Medicina y Salud,True,True,alta
2-s2.0-105034853792,2025,2,3,López-Arana S.,lopez arana s,lopezarana,"Facultad de Medicina, Escuela de Nutrición y Dietética, Universidad Finis Terrae, Santiago, Chile",Escuela de Nutrición y Dietética,Escuela de Nutrición y Dietética,True,True,alta
2-s2.0-85205816233,2025,1,4,Giglio A.,giglio a,giglio,"Critical Care Center, Clínica Las Condes Hospital, Santiago, Chile, Critical Care Department, Finis Terrae University, Santiago, Chile",,No determinada,True,True,alta
2-s2.0-85205816233,2025,2,4,Barrientos J.,barrientos j,barrientos,"School of Medicine, Finis Terrae University, Santiago, Chile",School of Medicine,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85205816233,2025,3,4,Ferre A.,ferre a,ferre,"Critical Care Center, Clínica Las Condes Hospital, Santiago, Chile, Critical Care Department, Finis Terrae University, Santiago, Chile",,No determinada,True,True,alta
2-s2.0-85217941622,2025,1,4,Marrugo N.,marrugo n,marrugo,"Facultad de Medicina, Universidad Finis Terrae, Santiago, Chile",Facultad de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85217941622,2025,2,4,Giordanino E.,giordanino e,giordanino,"Facultad de Medicina, Universidad Finis Terrae, Santiago, Chile, Departamento de Cardiología, Clínica Las Condes, Santiago, Chile",Facultad de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85217941622,2025,3,4,Palma G.,palma g,palma,"Facultad de Medicina, Universidad Finis Terrae, Santiago, Chile, Departamento de Cardiología, Clínica Las Condes, Santiago, Chile",Facultad de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85217941622,2025,4,4,Venegas J.C.,venegas jc,venegasjc,"Facultad de Medicina, Universidad Finis Terrae, Santiago, Chile, Departamento de Cardiología, Clínica Las Condes, Santiago, Chile",Facultad de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-105003550727,2025,1,2,Castro-Sepúlveda M.,castro sepulveda m,castrosepulveda,"Aging and Muscle Metabolism Lab, Department of Biomedical Sciences, Faculty of Biology and Medicine, University of Lausanne, Lausanne, Switzerland, Laboratorio de Fisiología del Ejercicio y Metabolismo, Escuela de Kinesiología, Facultad de Medicina, Universidad Finis Terrae, Santiago, Chile",Facultad de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-105011860926,2025,9,10,Paredes R.,paredes r,paredes,"Facultad de Ingeniería, Universidad Finis Terrae, Providencia, 7501014, Chile",Facultad de Ingeniería,Facultad de Ingeniería,True,True,alta
2-s2.0-85206123441,2024,4,4,López-Arana S.,lopez arana s,lopezarana,"Department of Nutrition, Faculty of Medicine, University of Chile, Av. Independencia 1027, Independencia, Santiago, Chile, School of Nutrition and Dietetics, Faculty of Medicine, Finis Terrae University, Santiago, Chile",Faculty of Medicine,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85219052166,2025,1,6,Rufin-Larraín A.,rufin larrain a,rufinlarrain,"Universidad Finis Terrae, Chile",,No determinada,True,True,alta
2-s2.0-85201715298,2024,6,7,Strauss F.J.,strauss fj,straussfj,"Clinic of Reconstructive Dentistry, Center for Dental Medicine, University of Zurich, Zurich, Switzerland, Center for Studies and Innovation in Dentistry, Faculty of Dentistry, Universidad Finis Terrae, Santiago, Chile",Faculty of Dentistry,Facultad de Odontología,True,True,alta
2-s2.0-105014467363,2025,1,2,C F.O.,c fo,fo,"Centro de Paciente Crítico, Clínica Las Condes, Santiago, Chile, Facultad de Medicina, Universidad Finis Terrae, Santiago, Chile",Facultad de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-105014467363,2025,2,2,Sanhueza M.B.,sanhueza mb,sanhuezamb,"Centro de Paciente Crítico, Clínica Las Condes, Santiago, Chile, Facultad de Medicina, Universidad Finis Terrae, Santiago, Chile",Facultad de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85193789492,2024,3,5,Pizarro S.,pizarro s,pizarro,"Servicio de Atención Médica de Urgencia, Santiago, Chile, Universidad Finis Terrae, Santiago, Chile",,No determinada,True,True,alta
2-s2.0-105009923921,2025,1,1,Basáez-Miranda E.,basaez miranda e,basaezmiranda,"Departamento de Neurología, Clínica Las Condes, Santiago, Chile, Facultad de Medicina, Universidad Finis Terrae, Santiago, Chile",Facultad de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-105009748521,2025,2,2,Hernández L.T.,hernandez lt,hernandezlt,"Universidad Finis Terrae, Universidad de Chile, Santiago, Chile",,No determinada,True,True,alta
2-s2.0-85197570653,2024,3,49,Diaz F.,diaz f,diaz,"Red Colaborativa Pediátrica de Latinoamérica (LARed Network), Montevideo, Uruguay, Departamento de Pediatriá, Unidad de Paciente Critico Pediátrico, Hospital El Carmen de Maipú, Santiago, Chile, Unidad de Investigación y Epidemiología Clínica, Escuela de Medicina, Universidad Finis Terrae, Santiago,",Escuela de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-105019937487,2025,2,4,Bilicic D.,bilicic d,bilicic,"Faculty of Medicine, Universidad Finis Terrae, Santiago, 7501015, Chile",Faculty of Medicine,Facultad de Medicina y Salud,True,True,alta
2-s2.0-105020950354,2025,4,4,Cortés-Sylvester M.F.,cortes sylvester mf,cortessylvester,"Department of Dentistry, Finis Terrae University, Santiago de Chile, Chile",,No determinada,True,True,alta
2-s2.0-85198729088,2024,1,14,Díaz-Castro F.,diaz castro f,diazcastro,"Center of Exercise Physiology and Metabolism, Department of Kinesiology, Faculty of Medicine, Universidad Finis Terrae, Santiago, Chile, Physiology Department, Biological Science Faculty, Pontificia Universidad Católica de Chile, Santiago, Chile, Laboratory of Autophagy and Metabolism, Department of",Faculty of Medicine,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85198729088,2024,2,14,Tuñón-Suárez M.,tunon suarez m,tunonsuarez,"Center of Exercise Physiology and Metabolism, Department of Kinesiology, Faculty of Medicine, Universidad Finis Terrae, Santiago, Chile",Faculty of Medicine,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85198729088,2024,5,14,Cancino J.,cancino j,cancino,"Center of Exercise Physiology and Metabolism, Department of Kinesiology, Faculty of Medicine, Universidad Finis Terrae, Santiago, Chile",Faculty of Medicine,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85198729088,2024,6,14,Figueroa A.M.,figueroa am,figueroaam,"Center of Exercise Physiology and Metabolism, Department of Kinesiology, Faculty of Medicine, Universidad Finis Terrae, Santiago, Chile",Faculty of Medicine,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85198729088,2024,7,14,Gutiérrez J.,gutierrez j,gutierrez,"Center of Exercise Physiology and Metabolism, Department of Kinesiology, Faculty of Medicine, Universidad Finis Terrae, Santiago, Chile",Faculty of Medicine,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85198729088,2024,10,14,Zbinden-Foncea H.,zbinden foncea h,zbindenfoncea,"Center of Exercise Physiology and Metabolism, Department of Kinesiology, Faculty of Medicine, Universidad Finis Terrae, Santiago, Chile, Departamento de Fisioterapia, Facultad de Ciencias de la Salud, Universidad Francisco de Vitoria, Madrid, Spain",Faculty of Medicine,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85198729088,2024,12,14,Henríquez-Olguín C.,henriquez olguin c,henriquezolguin,"Center of Exercise Physiology and Metabolism, Department of Kinesiology, Faculty of Medicine, Universidad Finis Terrae, Santiago, Chile, Department of Nutrition, Exercise and Sports, Section of Molecular Physiology, University of Copenhagen, Copenhagen, Denmark",Faculty of Medicine,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85198729088,2024,14,14,Castro-Sepúlveda M.,castro sepulveda m,castrosepulveda,"Center of Exercise Physiology and Metabolism, Department of Kinesiology, Faculty of Medicine, Universidad Finis Terrae, Santiago, Chile",Faculty of Medicine,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85205081067,2024,9,13,Orellana-Donoso M.,orellana donoso m,orellanadonoso,"Faculty of Medicine and Science, Universidad San Sebastián, Santiago, 8420524, Chile, Escuela de Medicina, Universidad Finis Terrae, Santiago, 7501015, Chile",Escuela de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85196771662,2024,1,6,Figueroa-Toledo A.M.,figueroa toledo am,figueroatoledo,"Laboratorio de Fisiología del Ejercicio y Metabolismo (LABFEM), Escuela de Kinesiología, Facultad de Medicina, Universidad Finis Terrae, Santiago, Chile",Facultad de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85196771662,2024,2,6,Gutiérrez-Pino J.,gutierrez pino j,gutierrezpino,"Laboratorio de Fisiología del Ejercicio y Metabolismo (LABFEM), Escuela de Kinesiología, Facultad de Medicina, Universidad Finis Terrae, Santiago, Chile",Facultad de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85196771662,2024,3,6,Carriel-Nesvara A.,carriel nesvara a,carrielnesvara,"Laboratorio de Fisiología del Ejercicio y Metabolismo (LABFEM), Escuela de Kinesiología, Facultad de Medicina, Universidad Finis Terrae, Santiago, Chile",Facultad de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85196771662,2024,4,6,Marchese-Bittencourt M.,marchese bittencourt m,marchesebittencourt,"Laboratorio de Fisiología del Ejercicio y Metabolismo (LABFEM), Escuela de Kinesiología, Facultad de Medicina, Universidad Finis Terrae, Santiago, Chile",Facultad de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85196771662,2024,5,6,Zbinden-Foncea H.,zbinden foncea h,zbindenfoncea,"Laboratorio de Fisiología del Ejercicio y Metabolismo (LABFEM), Escuela de Kinesiología, Facultad de Medicina, Universidad Finis Terrae, Santiago, Chile",Facultad de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85196771662,2024,6,6,Castro-Sepúlveda M.,castro sepulveda m,castrosepulveda,"Laboratorio de Fisiología del Ejercicio y Metabolismo (LABFEM), Escuela de Kinesiología, Facultad de Medicina, Universidad Finis Terrae, Santiago, Chile",Facultad de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85185484888,2024,2,4,Ceron M.L.,ceron ml,ceronml,"Facultad de Ingeniería, Universidad Finis Terrae, Av. Pedro de Valdivia 1509, Providencia, Santiago, Chile",Facultad de Ingeniería,Facultad de Ingeniería,True,True,alta
2-s2.0-105007992528,2025,1,5,Moyano Dávila C.,moyano davila c,moyanodavila,"Family Science School, Universidad Finis Terrae, Santiago de Chile, Chile, Millennium Nucleus, Digital Inequalities and Opportunities., Santiago de Chile, Chile",,No determinada,True,True,alta
2-s2.0-105003597806,2025,1,5,Valenzuela R.,valenzuela r,valenzuela,"Critical Care Center, Clinica Las Condes, Santiago, Chile, Faculty of Medicine, Finis Terrae University, Santiago, Chile",Faculty of Medicine,Facultad de Medicina y Salud,True,True,alta
2-s2.0-105003597806,2025,3,5,Garcia K.,garcia k,garcia,"Critical Care Center, Clinica Las Condes, Santiago, Chile, Faculty of Medicine, Finis Terrae University, Santiago, Chile",Faculty of Medicine,Facultad de Medicina y Salud,True,True,alta
2-s2.0-105003597806,2025,4,5,Cerda E.,cerda e,cerda,"Critical Care Center, Clinica Las Condes, Santiago, Chile, Faculty of Medicine, Finis Terrae University, Santiago, Chile",Faculty of Medicine,Facultad de Medicina y Salud,True,True,alta
2-s2.0-105003597806,2025,5,5,Ferre A.,ferre a,ferre,"Critical Care Center, Clinica Las Condes, Santiago, Chile, Faculty of Medicine, Finis Terrae University, Santiago, Chile",Faculty of Medicine,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85217573558,2025,1,8,Gálvez-Bravo F.,galvez bravo f,galvezbravo,"Asociación de Odontología Deportiva de Chile, AODCH, Santiago, 56001, Chile, Facultad de Odontología, Universidad Finis Terrae, Santiago, 56001, Chile",Facultad de Odontología,Facultad de Odontología,True,True,alta
2-s2.0-85217573558,2025,2,8,Edwards-Toro F.,edwards toro f,edwardstoro,"Asociación de Odontología Deportiva de Chile, AODCH, Santiago, 56001, Chile, Facultad de Odontología, Universidad Finis Terrae, Santiago, 56001, Chile",Facultad de Odontología,Facultad de Odontología,True,True,alta
2-s2.0-85217573558,2025,4,8,Opazo-García C.,opazo garcia c,opazogarcia,"Asociación de Odontología Deportiva de Chile, AODCH, Santiago, 56001, Chile, Facultad de Odontología, Universidad Finis Terrae, Santiago, 56001, Chile",Facultad de Odontología,Facultad de Odontología,True,True,alta
2-s2.0-85191716936,2024,1,8,Orellana-Donoso M.,orellana donoso m,orellanadonoso,"Escuela de Medicina, Universidad Finis Terrae, Santiago, 7501015, Chile",Escuela de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85191716936,2024,2,8,Romero-Zucchino D.,romero zucchino d,romerozucchino,"Escuela de Medicina, Universidad Finis Terrae, Santiago, 7501015, Chile",Escuela de Medicina,Facultad de Medicina y Salud,True,True,alta
