openalex_id,doi,titulo,anio,tipo,citas_openalex,autor_uft,institucion_declarada,motivo,tipo_hallazgo,severidad,consecuencia,resolucion,fecha_consulta
https://openalex.org/W4390399363,10.1016/j.hybadv.2023.100136,A literature review on an IoT-based intelligent smart energy management systems for PV power generation,2023,article,59,Franco Fernando Yanine,Finis Terrae University,"con DOI, y ese DOI no está en el universo",V2-26_obra_institucional_fuera_del_universo,media,"OpenAlex la atribuye a la institución y el universo no la tiene; puede ser producción fuera de Scopus, una atribución errónea, o un tipo documental excluido a propósito",PENDIENTE_REVISION_HUMANA,2026-08-26
https://openalex.org/W4366351345,10.7554/elife.83338,Microtubule-mediated GLUT4 trafficking is disrupted in insulin-resistant skeletal muscle,2023,article,37,Carlos Henríquez‐Olguín,Finis Terrae University,"con DOI, y ese DOI no está en el universo",V2-26_obra_institucional_fuera_del_universo,media,"OpenAlex la atribuye a la institución y el universo no la tiene; puede ser producción fuera de Scopus, una atribución errónea, o un tipo documental excluido a propósito",PENDIENTE_REVISION_HUMANA,2026-08-26
https://openalex.org/W4411929840,10.1016/s2215-0366(25)00098-7,Absolute neutrophil count and adverse drug reaction monitoring during clozapine treatment: consensus guidelines from a global Delphi panel,2025,article,25,Julia Lappin; Cristián Mena,Finis Terrae University,"con DOI, y ese DOI no está en el universo",V2-26_obra_institucional_fuera_del_universo,media,"OpenAlex la atribuye a la institución y el universo no la tiene; puede ser producción fuera de Scopus, una atribución errónea, o un tipo documental excluido a propósito",PENDIENTE_REVISION_HUMANA,2026-08-26
https://openalex.org/W4408133460,10.1016/j.ijhydene.2025.02.164,Techno-economic assessment of a green hydrogen production plant for a mining operation in Chile,2025,article,15,Franco Fernando Yanine,Finis Terrae University,"con DOI, y ese DOI no está en el universo",V2-26_obra_institucional_fuera_del_universo,media,"OpenAlex la atribuye a la institución y el universo no la tiene; puede ser producción fuera de Scopus, una atribución errónea, o un tipo documental excluido a propósito",PENDIENTE_REVISION_HUMANA,2026-08-26
https://openalex.org/W4415653878,10.1016/j.freeradbiomed.2025.10.283,Intracellular and extracellular redox signals during exercise and aging,2025,article,9,Carlos Henríquez‐Olguín,Finis Terrae University,"con DOI, y ese DOI no está en el universo",V2-26_obra_institucional_fuera_del_universo,media,"OpenAlex la atribuye a la institución y el universo no la tiene; puede ser producción fuera de Scopus, una atribución errónea, o un tipo documental excluido a propósito",PENDIENTE_REVISION_HUMANA,2026-08-26
https://openalex.org/W4408464707,10.1186/s43067-025-00198-w,Implementation of real-time optimal load scheduling for IoT-based intelligent smart energy management system using new decisive algorithm,2025,article,18,Franco Fernando Yanine,Finis Terrae University,"con DOI, y ese DOI no está en el universo",V2-26_obra_institucional_fuera_del_universo,media,"OpenAlex la atribuye a la institución y el universo no la tiene; puede ser producción fuera de Scopus, una atribución errónea, o un tipo documental excluido a propósito",PENDIENTE_REVISION_HUMANA,2026-08-26
https://openalex.org/W4401906910,10.1007/s41403-024-00498-z,An IoT Enabled Energy Management System with Precise Forecasting and Load Optimization for PV Power Generation,2024,article,15,Franco Fernando Yanine,Finis Terrae University,"con DOI, y ese DOI no está en el universo",V2-26_obra_institucional_fuera_del_universo,media,"OpenAlex la atribuye a la institución y el universo no la tiene; puede ser producción fuera de Scopus, una atribución errónea, o un tipo documental excluido a propósito",PENDIENTE_REVISION_HUMANA,2026-08-26
https://openalex.org/W4385625342,10.38123/rre.v3i2.300,influencia del clima escolar en el aprendizaje,2023,article,13,Giselle Mardones Soto,Finis Terrae University,"con DOI, y ese DOI no está en el universo",V2-26_obra_institucional_fuera_del_universo,media,"OpenAlex la atribuye a la institución y el universo no la tiene; puede ser producción fuera de Scopus, una atribución errónea, o un tipo documental excluido a propósito",PENDIENTE_REVISION_HUMANA,2026-08-26
https://openalex.org/W4407764880,10.1113/jp287387,The role of cellular senescence in endothelial dysfunction and vascular remodelling in arteriovenous fistula maturation,2025,article,8,Isabel González‐Álvarez; Rodrigo Maldonado‐Agurto,Finis Terrae University,"con DOI, y ese DOI no está en el universo",V2-26_obra_institucional_fuera_del_universo,media,"OpenAlex la atribuye a la institución y el universo no la tiene; puede ser producción fuera de Scopus, una atribución errónea, o un tipo documental excluido a propósito",PENDIENTE_REVISION_HUMANA,2026-08-26
https://openalex.org/W4415322256,10.1016/j.annonc.2025.10.010,"Novel pembrolizumab-based treatments as first-line therapy in advanced clear-cell renal cell carcinoma: substudy 03A of the open-label, umbrella platform, phase I/II KEYMAKER-U03 trial",2025,article,8,Carlos Rojas,Finis Terrae University,"con DOI, y ese DOI no está en el universo",V2-26_obra_institucional_fuera_del_universo,media,"OpenAlex la atribuye a la institución y el universo no la tiene; puede ser producción fuera de Scopus, una atribución errónea, o un tipo documental excluido a propósito",PENDIENTE_REVISION_HUMANA,2026-08-26
https://openalex.org/W4416197425,10.1016/j.uncres.2025.100279,A review of IoT enabled intelligent smart energy management for photovoltaic power forecasting and generation,2025,article,6,Franco Fernando Yanine,Finis Terrae University,"con DOI, y ese DOI no está en el universo",V2-26_obra_institucional_fuera_del_universo,media,"OpenAlex la atribuye a la institución y el universo no la tiene; puede ser producción fuera de Scopus, una atribución errónea, o un tipo documental excluido a propósito",PENDIENTE_REVISION_HUMANA,2026-08-26
https://openalex.org/W7117293263,10.1002/ksa.70242,Rectus femoris tendon: An emerging option in ACL reconstruction,2025,article,5,Tomás Pineda,Finis Terrae University,"con DOI, y ese DOI no está en el universo",V2-26_obra_institucional_fuera_del_universo,media,"OpenAlex la atribuye a la institución y el universo no la tiene; puede ser producción fuera de Scopus, una atribución errónea, o un tipo documental excluido a propósito",PENDIENTE_REVISION_HUMANA,2026-08-26
https://openalex.org/W4411505355,10.1007/s12565-025-00855-0,Anatomical variants of the vertebral artery and their relationship with craniocervical disorders and surgical considerations: a systematic review and meta-analysis,2025,review,4,Mathias Orellana‐Donoso,Finis Terrae University,"con DOI, y ese DOI no está en el universo",V2-26_obra_institucional_fuera_del_universo,media,"OpenAlex la atribuye a la institución y el universo no la tiene; puede ser producción fuera de Scopus, una atribución errónea, o un tipo documental excluido a propósito",PENDIENTE_REVISION_HUMANA,2026-08-26
https://openalex.org/W4416426553,10.1123/ijsnem.2025-0157,UCI Sports Nutrition Project: The Science of Successful Cycling Performance,2025,article,4,Iñigo Mujika,Finis Terrae University,"con DOI, y ese DOI no está en el universo",V2-26_obra_institucional_fuera_del_universo,media,"OpenAlex la atribuye a la institución y el universo no la tiene; puede ser producción fuera de Scopus, una atribución errónea, o un tipo documental excluido a propósito",PENDIENTE_REVISION_HUMANA,2026-08-26
https://openalex.org/W4409656283,10.20511/pyr2024.v12.2000,Participación parental en educación básica latinoamericana: revisión sistemática,2024,article,3,Verónica Gubbins; Paula Quadros Flores,Finis Terrae University,"con DOI, y ese DOI no está en el universo",V2-26_obra_institucional_fuera_del_universo,media,"OpenAlex la atribuye a la institución y el universo no la tiene; puede ser producción fuera de Scopus, una atribución errónea, o un tipo documental excluido a propósito",PENDIENTE_REVISION_HUMANA,2026-08-26
https://openalex.org/W4412984592,10.1097/gme.0000000000002620,Unraveling the association between obesity and climacteric symptoms: a generalized structural equation modeling approach,2025,article,3,Sócrates Aedo,Finis Terrae University,"con DOI, y ese DOI no está en el universo",V2-26_obra_institucional_fuera_del_universo,media,"OpenAlex la atribuye a la institución y el universo no la tiene; puede ser producción fuera de Scopus, una atribución errónea, o un tipo documental excluido a propósito",PENDIENTE_REVISION_HUMANA,2026-08-26
https://openalex.org/W4417153247,10.1002/ksa.70223,Reliable pain and function outcomes but limited sport performance after high tibial osteotomy for medial knee osteoarthritis in the grey zone between osteotomy and unicompartmental replacement,2025,article,3,Tomás Pineda,Finis Terrae University,"con DOI, y ese DOI no está en el universo",V2-26_obra_institucional_fuera_del_universo,media,"OpenAlex la atribuye a la institución y el universo no la tiene; puede ser producción fuera de Scopus, una atribución errónea, o un tipo documental excluido a propósito",PENDIENTE_REVISION_HUMANA,2026-08-26
https://openalex.org/W4388941119,10.3389/fenef.2023.1258384,Energy homeostasis model for electrical and thermal systems integration in residential buildings: a means to sustain distributed generation systems integration,2023,article,6,Fernando Yanine,Finis Terrae University,"con DOI, y ese DOI no está en el universo",V2-26_obra_institucional_fuera_del_universo,media,"OpenAlex la atribuye a la institución y el universo no la tiene; puede ser producción fuera de Scopus, una atribución errónea, o un tipo documental excluido a propósito",PENDIENTE_REVISION_HUMANA,2026-08-26
