openalex_id,doi,crossref_encontrado,crossref_tipo,crossref_anio,crossref_certeza_autor,crossref_autor,crossref_afiliacion
https://openalex.org/W4390399363,10.1016/j.hybadv.2023.100136,True,journal-article,2024,unico,Franco Fernando Yanine,
https://openalex.org/W4366351345,10.7554/elife.83338,True,journal-article,2023,unico,Carlos Henriquez-Olguin,"August Krogh Section for Molecular Physiology, Department of Nutrition, Exercise and Sports, Faculty of Science, University of Copenhagen | Exercise Science Laboratory, Faculty of Medicine, Universidad Finis Terrae"
https://openalex.org/W4411929840,10.1016/s2215-0366(25)00098-7,True,journal-article,2026,ambiguo,Cristián Mena | Cristián Mena · Julia Lappin | Julia Lappin,
https://openalex.org/W4408133460,10.1016/j.ijhydene.2025.02.164,True,journal-article,2025,unico,Fernando Yanine,
https://openalex.org/W4415653878,10.1016/j.freeradbiomed.2025.10.283,True,journal-article,2026,unico,Carlos Henriquez-Olguin,
https://openalex.org/W4408464707,10.1186/s43067-025-00198-w,True,journal-article,2025,unico,Franco Fernando Yanine,
https://openalex.org/W4401906910,10.1007/s41403-024-00498-z,True,journal-article,2024,unico,Franco Fernando Yanine,
https://openalex.org/W4385625342,10.38123/rre.v3i2.300,True,journal-article,2023,sin_match,,
https://openalex.org/W4407764880,10.1113/jp287387,True,journal-article,2026,sin_match,,
https://openalex.org/W4415322256,10.1016/j.annonc.2025.10.010,True,journal-article,2026,unico,C. Rojas,
https://openalex.org/W4416197425,10.1016/j.uncres.2025.100279,True,journal-article,2026,unico,Franco Fernando Yanine,
https://openalex.org/W7117293263,10.1002/ksa.70242,True,journal-article,2026,unico,Tomas Pineda,"Hospital del Trabajador, Facultad de Medicina Universidad Andrés Bello Santiago Chile | Hospital el Carmen, Facultad de Medicina Universidad Finis Terrae Santiago Chile"
https://openalex.org/W4411505355,10.1007/s12565-025-00855-0,True,journal-article,2026,unico,Mathias Orellana-Donoso,
https://openalex.org/W4416426553,10.1123/ijsnem.2025-0157,True,journal-article,2026,unico,Iñigo Mujika,"Department of Physiology, Faculty of Medicine and Nursing, University of the Basque Country UPV/EHU, Leioa, Basque Country | Exercise Science Laboratory, School of Kinesiology, Faculty of Medicine, Universidad Finis Terrae, Santiago, Chile"
https://openalex.org/W4409656283,10.20511/pyr2024.v12.2000,True,journal-article,2024,unico,Paula Flores · Verónica Gubbins,
https://openalex.org/W4412984592,10.1097/gme.0000000000002620,True,journal-article,2026,unico,Sócrates Aedo,"Department of Medicine, School of Medicine, Faculty of Medicine, Universidad Finis Terrae, Santiago de Chile, Chile"
https://openalex.org/W4417153247,10.1002/ksa.70223,True,journal-article,2026,unico,Tomas Pineda,"Facultad de Medicina, Hospital del Trabajador Universidad Andrés Bello Santiago Chile | Facultad de Medicina, Hospital el Carmen Universidad Finis Terrae Santiago Chile"
https://openalex.org/W4388941119,10.3389/fenef.2023.1258384,True,journal-article,2023,unico,Fernando Yanine,
https://openalex.org/W4367336808,10.1590/s1678-4634202349263089esp,True,journal-article,2023,unico,Carola Zañartu Canihuante,"Universidad Finis Terrae, Facultad de Educación, Psicología y Familia,  Chile"
https://openalex.org/W4388452031,10.31619/caledu.n59.1378,True,journal-article,2023,unico,María Francisca Puyol,
https://openalex.org/W4404050318,10.1177/08850666241293034,True,journal-article,2026,unico,Andres Ferre · Andrés Giglio,"Clinica Las Condes Hospital | Critical Care Department, Finis Terrae University, Santiago, Chile"
https://openalex.org/W4401507305,10.38123/rre.v4i2.429,True,journal-article,2024,sin_match,,
https://openalex.org/W4410053593,10.5354/0718-2236.2025.78773,True,journal-article,2025,sin_match,,
https://openalex.org/W4412640878,10.1080/10408398.2025.2534173,True,journal-article,2026,unico,María Salomé Mariotti-Celis,"Escuela de Nutrición & Dietética, Facultad de Medicina, Universidad Finis Terrae"
https://openalex.org/W7117496424,10.1123/ijsnem.2025-0101,True,journal-article,2026,unico,Iñigo Mujika,"Department of Physiology, Faculty of Medicine and Nursing, University of the Basque Country UPV/EHU, Leioa, Basque Country | Exercise Science Laboratory, School of Kinesiology, Faculty of Medicine, Universidad Finis Terrae, Santiago, Chile"
https://openalex.org/W4385197716,10.38123/amox8.287,True,journal-article,2023,sin_match,,
https://openalex.org/W4401808384,10.30545/academo.2024.set-dic.9,True,journal-article,2024,sin_match,,
https://openalex.org/W4412593741,10.30827/profesorado.v29i2.32229,True,journal-article,2025,unico,José Tomás Montalva · Rosario Undurraga,
https://openalex.org/W4412738384,10.21703/rexe.v24i55.3066,True,journal-article,2025,sin_match,,
https://openalex.org/W4413012084,10.1007/s12565-025-00873-y,True,journal-article,2026,unico,Mathias Orellana-Donoso,
https://openalex.org/W4415704543,10.1016/j.arth.2025.10.075,True,journal-article,2025,unico,Gabriel Baron,
https://openalex.org/W4416148271,10.1038/s41574-025-01209-6,True,journal-article,2026,unico,Alejandra Tapia-Castillo,
https://openalex.org/W4360850685,10.22206/cys.2023.v48i1.pp9-32,True,journal-article,2023,unico,Valeria Radrigán,
https://openalex.org/W4387029121,10.35366/112734,True,journal-article,2023,unico,Mathias Orellana-Donoso,
https://openalex.org/W4393374279,10.21703/rexe.v23i51.2189,True,journal-article,2024,unico,Jennifer Caroca-Guzmán,"Universidad Finis Terrae, Chile"
https://openalex.org/W4409691948,10.1186/s43067-025-00202-3,True,journal-article,2025,unico,Franco Fernando Yanine,
https://openalex.org/W4377139965,10.37417/rpd/vol_7_2023_1259,True,journal-article,2023,sin_match,,
https://openalex.org/W4382893631,10.36105/mye.2023v34n3.01,True,journal-article,2023,unico,Manuel J. Santos · Paulo López-Soto,
https://openalex.org/W4385076904,10.1016/j.medine.2023.07.001,True,journal-article,2024,unico,Franco Díaz,
https://openalex.org/W4395667602,10.4151/07189729-vol.63-iss.1-art.1522,True,journal-article,2024,sin_match,,
https://openalex.org/W4403300557,10.5102/rdi.v21i1.9422,True,journal-article,2024,sin_match,,
https://openalex.org/W4386973707,10.31857/s0044748x0027277-3,True,journal-article,2023,unico,Manuel Loyola,"Finis Terrae University (Santiago, Chile)"
https://openalex.org/W4389250203,10.6018/edumed.582211,True,journal-article,2023,sin_match,,
https://openalex.org/W4391135038,10.4067/s0718-85602023000300161,True,journal-article,2023,sin_match,,
https://openalex.org/W4392664987,10.38123/rre.v4i1.361,True,journal-article,2024,sin_match,,
https://openalex.org/W4396577719,10.5354/0719-3769.2024.73925,True,journal-article,2024,unico,Vanessa Cárdenas,
https://openalex.org/W4396902598,10.1016/j.rec.2024.05.001,True,journal-article,2024,unico,Paulo Valderrama,
https://openalex.org/W4400609018,10.1016/j.oooo.2024.04.095,True,journal-article,2024,sin_match,,
https://openalex.org/W4406099054,10.4151/07197969-vol.13-iss.1-art.764,True,journal-article,2023,sin_match,,
https://openalex.org/W4406201050,10.1002/alz.089192,True,journal-article,2024,unico,Joaquin Herrero,"Interdisciplinary Center for Neuroscience (NeuroUC) ‐ Laboratory for Cognitive and Evolutionary Neuroscience ‐ Medicine School ‐ Pontificia Universidad Católica de Chile, Santiago Chile | School of Kinesiology, Faculty of Medicine, Universidad Finis Terrae, Santiago Chile"
https://openalex.org/W4414059568,10.1177/08850666251359548,True,journal-article,2026,unico,Martín H. Benites,"Facultad de Medicina, Escuela de Medicina, Universidad Finis Terrae, Santiago, Chile | Pontificia Universidad Católica de Chile | Unidad de Pacientes Críticos, Clínica Las Condes, Santiago, Chile"
https://openalex.org/W4414682887,10.20453/reh.v35i3.6505,True,journal-article,2025,sin_match,,
https://openalex.org/W4415242465,10.14201/azafea202527287310,True,journal-article,2025,unico,Adriana Romero,
https://openalex.org/W4416589664,10.1016/j.wneu.2025.124652,True,journal-article,2026,sin_match,,
https://openalex.org/W4417019251,10.1177/19417381251393643,True,journal-article,2026,unico,Guillermo Mendez-Rebolledo · Melissa Muñoz-Garcés,"Laboratorio de Investigación Somatosensorial y Motora, Escuela de Kinesiología, Facultad de Salud, Universidad Santo Tomás, Chile | Master in Health and Sports Sciences, Faculty of Medicine, Finis Terrae University, Santiago, Chile"
https://openalex.org/W4417325590,10.1007/s00345-025-06127-w,True,journal-article,2025,unico,Helga Ibañez · José A. Salvadó · Vicente Elorrieta,
https://openalex.org/W4417441759,10.1016/j.tem.2025.11.001,True,journal-article,2026,unico,Mauricio Castro-Sepulveda,
https://openalex.org/W4417467275,10.1016/j.neuroscience.2025.12.034,True,journal-article,2026,unico,Juan Pablo Morales,
https://openalex.org/W7116691273,10.3390/inorganics14010003,True,journal-article,2025,unico,Rosaly Morales-Guevara,"Departamento de Química de los Materiales, Facultad de Química y Biología, Universidad de Santiago de Chile, Av. Libertador Bernardo O’Higgins 3363, Santiago 9170022, Chile | Facultad de Ingeniería, Universidad Finis Terrae, Av. Pedro de Valdivia 1509, Santiago 7501015, Chile"
https://openalex.org/W4400320597,10.36615/pk9fjt18,True,journal-article,2024,sin_match,,
https://openalex.org/W4404754620,10.1119/5.0166724,True,journal-article,2024,unico,Miguel Lagos · Rodrigo Paredes,"Facultad de Ingeniería, Universidad Finis Terrae 1 , Providencia, Santiago,"
https://openalex.org/W4399653638,10.4067/s0718-07642024000300051,True,journal-article,2024,unico,Carolina Zambrano,
https://openalex.org/W4386946667,10.14482/sun.39.02.813.625,True,journal-article,2023,sin_match,,
https://openalex.org/W4386984725,10.1007/978-3-031-26425-2_2,True,book-chapter,2024,unico,Megumi Andrade Kobayashi,
https://openalex.org/W4388105096,10.4067/s0717-73482023000300233,True,journal-article,2023,sin_match,,
https://openalex.org/W4389431330,10.18601/16926722.n24.13,True,journal-article,2023,unico,Felipe Yáñez,
https://openalex.org/W4389921224,10.59334/rov.v2i39.552,True,journal-article,2023,unico,Javiera Cancino,
https://openalex.org/W4392664983,10.38123/rre.v4i1.335,True,journal-article,2024,sin_match,,
