eid,detectada_por_el_proyecto,atribuida_por_openalex,rors_en_openalex,tipo,severidad,consecuencia,resolucion,fecha_consulta
2-s2.0-105000133447,True,False,01cby8j38,V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-105000407376,True,False,029ycp228,V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-105001351276,True,False,(ninguno),V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-105001686445,True,False,01rwn3f68 | 02jzgtq86 | 035b05819,V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-105003281114,True,False,00j5bwe91 | 03a8gac78,V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-105003555837,True,False,(ninguno),V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-105003831479,True,False,02ma57s91,V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-105004356535,True,False,047gc3g35 | 04jrwm652,V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-105005102289,True,False,02t46gq94,V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-105006493357,True,False,(ninguno),V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-105007015111,True,False,(ninguno),V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-105007196459,True,False,(ninguno),V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
