firma,orcid,eid,doi,match,fecha_consulta
Castiglioni C.,0000-0002-1981-7550,2-s2.0-105000111424,10.1038/s41467-025-56628-w,apellido+inicial,2026-08-26
Simón L.,0000-0002-0130-3519,2-s2.0-105000330260,10.1186/s12964-025-02131-0,apellido+inicial,2026-08-26
Yanine F.,0000-0003-1086-0840,2-s2.0-105000398688,10.1007/978-3-031-81029-9_5,apellido+inicial,2026-08-26
Torres K.,0000-0001-7638-6438,2-s2.0-105000516989,10.3389/fnut.2025.1551130,apellido+inicial,2026-08-26
Simón L.,0000-0002-0130-3519,2-s2.0-105000516989,10.3389/fnut.2025.1551130,apellido+inicial,2026-08-26
Benites M.H.,0000-0001-6366-534X,2-s2.0-105000547419,10.1186/s13054-025-05343-5,apellido+inicial,2026-08-26
Mujika I.,0000-0002-8143-9132,2-s2.0-105001037901,10.1123/ijspp.2024-0409,apellido+inicial,2026-08-26
Landskron G.,0000-0002-7953-6769,2-s2.0-105001077196,10.1016/j.rgmx.2024.08.004,apellido+inicial,2026-08-26
Mujika I.,0000-0002-8143-9132,2-s2.0-105001176342,10.3390/sports13030086,apellido+inicial,2026-08-26
Catalán C.,0000-0001-9898-3727,2-s2.0-105001299109,10.3390/cancers17060913,apellido+inicial,2026-08-26
Diaz F.,0000-0003-4763-074X,2-s2.0-105001330915,10.1016/j.jointm.2024.09.001,apellido+inicial,2026-08-26
López-Arana S.,0000-0002-4312-1318,2-s2.0-105001351276,10.4067/s0717-75182024000600428,apellido+inicial,2026-08-26
Bustos-Arriagada E.,0000-0003-4698-1425,2-s2.0-105001351276,10.4067/s0717-75182024000600428,apellido+inicial,2026-08-26
Castillo O.,0000-0002-7385-5689,2-s2.0-105001351276,10.4067/s0717-75182024000600428,apellido+inicial,2026-08-26
Tiscornia C.,0000-0002-0138-083X,2-s2.0-105001353763,10.3390/nu17061058,apellido+inicial,2026-08-26
Águila D.,0000-0002-5999-5087,2-s2.0-105001353763,10.3390/nu17061058,apellido+inicial,2026-08-26
Lorca-Ponce E.,0000-0003-1881-2798,2-s2.0-105001353763,10.3390/nu17061058,apellido+inicial,2026-08-26
Vásquez F.,0000-0003-1769-3969,2-s2.0-105001353763,10.3390/nu17061058,apellido+inicial,2026-08-26
Rivera-Tovar P.R.,0000-0001-8064-3070,2-s2.0-105001372013,10.3390/antiox14030250,apellido+inicial,2026-08-26
Mariotti-Celis M.S.,0000-0003-1357-812X,2-s2.0-105001372013,10.3390/antiox14030250,apellido+inicial,2026-08-26
Vasquez F.,0000-0003-1769-3969,2-s2.0-105001380214,10.3390/jfmk10010093,apellido+inicial,2026-08-26
Yanine F.F.,0000-0003-1086-0840,2-s2.0-105001585427,10.1007/s00202-024-02674-4,apellido+inicial,2026-08-26
Henríquez-Olguín C.,0000-0002-9315-9365,2-s2.0-105001686445,10.1016/j.redox.2025.103607,apellido+inicial,2026-08-26
Yanine F.F.,0000-0003-1086-0840,2-s2.0-105001709998,10.1016/j.uncres.2025.100173,apellido+inicial,2026-08-26
Ayares G.,0000-0002-8651-2255,2-s2.0-105002132315,10.1111/liv.70017,apellido+inicial,2026-08-26
Mariotti-Celis M.S.,0000-0003-1357-812X,2-s2.0-105002229956,10.1016/j.ifset.2025.104017,apellido+inicial,2026-08-26
Giglio A.,0000-0002-0533-4531,2-s2.0-105002338312,10.1016/j.joclim.2025.100437,apellido+inicial,2026-08-26
Ferre A.,0000-0003-1770-244X,2-s2.0-105002338312,10.1016/j.joclim.2025.100437,apellido+inicial,2026-08-26
Cancino J.,0000-0002-1956-7600,2-s2.0-105002477028,10.21142/2523-2754-1102-2023-153,apellido+inicial,2026-08-26
Mujika I.,0000-0002-8143-9132,2-s2.0-105002655309,10.1080/02640414.2025.2478354,apellido+inicial,2026-08-26
Rodríguez M.F.,0000-0001-5578-922X,2-s2.0-105003198608,10.1007/s10805-025-09633-z,apellido+inicial,2026-08-26
Giglio A.,0000-0002-0533-4531,2-s2.0-105003371923,10.1097/RHU.0000000000002230,apellido+inicial,2026-08-26
Flores P.C.,0000-0002-9761-2112,2-s2.0-105003392328,10.62161/revvisual.v17.5760,apellido+inicial,2026-08-26
Ferre A.,0000-0003-1770-244X,2-s2.0-105003546905,10.1016/j.rmclc.2025.03.004,apellido+inicial,2026-08-26
Dreyse J.,0000-0002-8201-5956,2-s2.0-105003546905,10.1016/j.rmclc.2025.03.004,apellido+inicial,2026-08-26
Giglio A.,0000-0002-0533-4531,2-s2.0-105003546905,10.1016/j.rmclc.2025.03.004,apellido+inicial,2026-08-26
Valenzuela R.,0009-0007-8023-3400,2-s2.0-105003546905,10.1016/j.rmclc.2025.03.004,apellido+inicial,2026-08-26
Castro-Sepúlveda M.,0000-0002-2270-299X,2-s2.0-105003550727,10.1152/ajpheart.00219.2025,apellido+inicial,2026-08-26
Orellana-Donoso M.,0000-0002-1781-062X,2-s2.0-105003554304,10.3390/medicina61040666,apellido+inicial,2026-08-26
Arroyo A.,0000-0003-0157-5175,2-s2.0-105003571817,10.1016/j.rmclc.2025.04.003,apellido+inicial,2026-08-26
Arroyo A.,0000-0003-0157-5175,2-s2.0-105003572556,10.1016/j.rmclc.2025.04.004,apellido+inicial,2026-08-26
Ramos A.,0000-0002-1248-0553,2-s2.0-105003572556,10.1016/j.rmclc.2025.04.004,apellido+inicial,2026-08-26
Reccius A.,0009-0004-3236-3030,2-s2.0-105003572556,10.1016/j.rmclc.2025.04.004,apellido+inicial,2026-08-26
Torres K.,0000-0001-7638-6438,2-s2.0-105003590751,10.3390/antiox14040388,apellido+inicial,2026-08-26
Simón L.,0000-0002-0130-3519,2-s2.0-105003590751,10.3390/antiox14040388,apellido+inicial,2026-08-26
Valenzuela R.,0009-0007-8023-3400,2-s2.0-105003597806,10.1016/j.rmclc.2025.03.003,apellido+inicial,2026-08-26
Ferre A.,0000-0003-1770-244X,2-s2.0-105003597806,10.1016/j.rmclc.2025.03.003,apellido+inicial,2026-08-26
Arroyo A.,0000-0003-0157-5175,2-s2.0-105003736290,10.1016/j.rmclc.2025.04.002,apellido+inicial,2026-08-26
Reccius A.,0009-0004-3236-3030,2-s2.0-105003736290,10.1016/j.rmclc.2025.04.002,apellido+inicial,2026-08-26
Yanine F.,0000-0003-1086-0840,2-s2.0-105003831479,10.14718/REVFINANZPOLITECON.V17.2025.7,apellido+inicial,2026-08-26
Giglio A.,0000-0002-0533-4531,2-s2.0-105003932507,10.1016/j.jvoice.2025.04.010,apellido+inicial,2026-08-26
Ferre A.,0000-0003-1770-244X,2-s2.0-105003932507,10.1016/j.jvoice.2025.04.010,apellido+inicial,2026-08-26
Fernández-Verdejo R.,0000-0002-5948-2281,2-s2.0-105004015051,10.1002/oby.24313,apellido+inicial,2026-08-26
Herrero J.,0000-0002-2680-7019,2-s2.0-105004777660,10.1038/s41598-025-01465-6,apellido+inicial,2026-08-26
Hidalgo M.,0000-0003-3191-3673,2-s2.0-105004886970,10.15446/ing.investig.115837,apellido+inicial,2026-08-26
Yanine F.F.,0000-0003-1086-0840,2-s2.0-105004998221,10.1016/j.uncres.2025.100197,apellido+inicial,2026-08-26
Ossa-Cox M.,0009-0006-4778-3235,2-s2.0-105005324704,10.1097/SCS.0000000000011456,apellido+inicial,2026-08-26
Henriquez-Olguín C.,0000-0002-9315-9365,2-s2.0-105005519883,10.1016/j.cmet.2025.04.002,apellido+inicial,2026-08-26
Tapia-Castillo A.,0000-0002-6081-1468,2-s2.0-105005555951,10.1093/ajh/hpaf020,apellido+inicial,2026-08-26
Landskron G.,0000-0002-7953-6769,2-s2.0-105005943336,10.1021/acs.jcim.4c02027,apellido+inicial,2026-08-26
