firma,orcid,eid,doi,match,fecha_consulta
Mardones-Falcone G.,0000-0003-3943-8731,2-s2.0-105000133447,10.4206/aus.2024.n36-13,apellido+inicial,2026-08-27
Yanine F.,0000-0003-1086-0840,2-s2.0-105000398688,10.1007/978-3-031-81029-9_5,apellido+inicial,2026-08-27
Torres K.,0000-0001-7638-6438,2-s2.0-105000516989,10.3389/fnut.2025.1551130,apellido+inicial,2026-08-27
Simón L.,0000-0002-0130-3519,2-s2.0-105000516989,10.3389/fnut.2025.1551130,apellido+inicial,2026-08-27
Mujika I.,0000-0002-8143-9132,2-s2.0-105001037901,10.1123/ijspp.2024-0409,apellido+inicial,2026-08-27
Mujika I.,0000-0002-8143-9132,2-s2.0-105001176342,10.3390/sports13030086,apellido+inicial,2026-08-27
Tiscornia C.,0000-0002-0138-083X,2-s2.0-105001353763,10.3390/nu17061058,apellido+inicial,2026-08-27
Lorca-Ponce E.,0000-0003-1881-2798,2-s2.0-105001353763,10.3390/nu17061058,apellido+inicial,2026-08-27
Rivera-Tovar P.R.,0000-0001-8064-3070,2-s2.0-105001372013,10.3390/antiox14030250,apellido+inicial,2026-08-27
Mariotti-Celis M.S.,0000-0003-1357-812X,2-s2.0-105001372013,10.3390/antiox14030250,apellido+inicial,2026-08-27
Henríquez-Olguín C.,0000-0002-9315-9365,2-s2.0-105001686445,10.1016/j.redox.2025.103607,apellido+inicial,2026-08-27
Ayares G.,0000-0002-8651-2255,2-s2.0-105002132315,10.1111/liv.70017,apellido+inicial,2026-08-27
Mujika I.,0000-0002-8143-9132,2-s2.0-105002655309,10.1080/02640414.2025.2478354,apellido+inicial,2026-08-27
Galleguillos R.,0000-0001-6065-5218,2-s2.0-105002686088,10.1109/NANOMED64244.2024.10946060,apellido+inicial,2026-08-27
Strauss F.J.,0000-0002-5832-7327,2-s2.0-105002731372,10.1111/prd.12628,apellido+inicial,2026-08-27
Rodríguez M.F.,0000-0001-5578-922X,2-s2.0-105003198608,10.1007/s10805-025-09633-z,apellido+inicial,2026-08-27
Ruiz-Riquelme P.,0000-0002-3293-8189,2-s2.0-105003281114,10.1016/j.fas.2025.04.006,apellido+inicial,2026-08-27
Valenzuela R.,0009-0007-8023-3400,2-s2.0-105003546905,10.1016/j.rmclc.2025.03.004,apellido+inicial,2026-08-27
Castro-Sepúlveda M.,0000-0002-2270-299X,2-s2.0-105003550727,10.1152/ajpheart.00219.2025,apellido+inicial,2026-08-27
Torres K.,0000-0001-7638-6438,2-s2.0-105003590751,10.3390/antiox14040388,apellido+inicial,2026-08-27
Simón L.,0000-0002-0130-3519,2-s2.0-105003590751,10.3390/antiox14040388,apellido+inicial,2026-08-27
Valenzuela R.,0009-0007-8023-3400,2-s2.0-105003597806,10.1016/j.rmclc.2025.03.003,apellido+inicial,2026-08-27
Fernández-Verdejo R.,0000-0002-5948-2281,2-s2.0-105004015051,10.1002/oby.24313,apellido+inicial,2026-08-27
Herrero J.,0009-0001-4210-1016,2-s2.0-105004777660,10.1038/s41598-025-01465-6,apellido+inicial,2026-08-27
Strauss F.J.,0000-0002-5832-7327,2-s2.0-105004779394,10.61872/sdj-2025-02-04,apellido+inicial,2026-08-27
Hidalgo M.,0000-0003-3191-3673,2-s2.0-105004886970,10.15446/ing.investig.115837,apellido+inicial,2026-08-27
Muszalski H.,0000-0001-7031-6957,2-s2.0-105005176800,10.48162/rev.35.048,apellido+inicial,2026-08-27
Montero-Orellana M.J.,0009-0007-0052-9616,2-s2.0-105005324704,10.1097/SCS.0000000000011456,apellido+inicial,2026-08-27
Ossa-Cox M.,0009-0006-4778-3235,2-s2.0-105005324704,10.1097/SCS.0000000000011456,apellido+inicial,2026-08-27
Henriquez-Olguín C.,0000-0002-9315-9365,2-s2.0-105005519883,10.1016/j.cmet.2025.04.002,apellido+inicial,2026-08-27
Tapia-Castillo A.,0000-0002-6081-1468,2-s2.0-105005555951,10.1093/ajh/hpaf020,apellido+inicial,2026-08-27
Tabilo-Prieto I.,0000-0002-7501-5085,2-s2.0-105005675463,10.1007/978-3-031-70043-9_6,apellido+inicial,2026-08-27
López-Arana S.,0000-0002-4312-1318,2-s2.0-105006432616,10.3390/healthcare13101133,apellido+inicial,2026-08-27
Guardia Castro D.,0000-0002-9959-2856,2-s2.0-105006493357,10.35687/s2452-454920250032541,apellido+inicial,2026-08-27
Arauco Rodríguez D.,0009-0003-6405-8316,2-s2.0-105006493357,10.35687/s2452-454920250032541,apellido+inicial,2026-08-27
Montero V.,0000-0003-4368-2868,2-s2.0-105006537091,10.7238/artnodes.v0i36.431891,apellido+inicial,2026-08-27
Larrañaga M.,0009-0006-2146-5677,2-s2.0-105006776695,10.3390/curroncol32050246,apellido+inicial,2026-08-27
Verdugo F.J.,0000-0003-0977-3619,2-s2.0-105007015111,10.7775/rac.es.v92.i4.20810,apellido+inicial,2026-08-27
Núñez-Lisboa M.N.,0000-0003-0051-9833,2-s2.0-105007725331,10.1038/s41514-025-00239-8,apellido+inicial,2026-08-27
Crisóstomo-Flores P.,0000-0002-9761-2112,2-s2.0-105008242401,10.5209/emp.99627,apellido+inicial,2026-08-27
Carriel-Nesvara A.,0009-0002-0205-4478,2-s2.0-105008897804,10.1113/JP289019,apellido+inicial,2026-08-27
Muñoz-Medina C.,0009-0000-2165-0553,2-s2.0-105008897804,10.1113/JP289019,apellido+inicial,2026-08-27
Castro-Sepulveda M.,0000-0002-2270-299X,2-s2.0-105008897804,10.1113/JP289019,apellido+inicial,2026-08-27
Etchegaray-Armijo K.,0000-0002-8536-3729,2-s2.0-105008991612,10.1016/j.freeradbiomed.2025.06.007,apellido+inicial,2026-08-27
Montalva-Valenzuela F.,0000-0003-0004-3089,2-s2.0-105009309845,10.3390/psychiatryint6020046,apellido+inicial,2026-08-27
Henriquez-Olguin C.,0000-0002-9315-9365,2-s2.0-105009525406,10.1113/JP288854,apellido+inicial,2026-08-27
Montalva-Valenzuela F.,0000-0003-0004-3089,2-s2.0-105009721590,10.1007/s44155-025-00241-1,apellido+inicial,2026-08-27
Loyola M.T.,0000-0002-2580-8271,2-s2.0-105009800568,10.5354/0719-1243.2025.79291,apellido+inicial,2026-08-27
Mansilla-Obando K.,0000-0003-4273-4259,2-s2.0-105009804221,10.1002/sd.70021,apellido+inicial,2026-08-27
Casals-Hill A.,0000-0001-5940-1050,2-s2.0-105010237891,10.46516/inmaterial.v10.219,apellido+inicial,2026-08-27
Mariotti-Celis M.S.,0000-0003-1357-812X,2-s2.0-105010256496,10.3390/foods14132240,apellido+inicial,2026-08-27
Montalva-Valenzuela F.,0000-0003-0004-3089,2-s2.0-105010261920,10.17979/sportis.2025.11.3.11920,apellido+inicial,2026-08-27
Torres K.,0000-0001-7638-6438,2-s2.0-105010435195,10.1016/j.biopha.2025.118339,apellido+inicial,2026-08-27
Ruiz Riquelme P.,0000-0002-3293-8189,2-s2.0-105010641875,10.3390/diagnostics15131618,apellido+inicial,2026-08-27
Mujika I.,0000-0002-8143-9132,2-s2.0-105010940955,10.3389/fspor.2025.1541765,apellido+inicial,2026-08-27
Amarouch García I.,0000-0003-2444-8179,2-s2.0-105011212960,10.26754/ojs_zarch/zarch.20252411151,apellido+inicial,2026-08-27
Fernández-Verdejo R.,0000-0002-5948-2281,2-s2.0-105011383287,10.1038/s41574-025-01149-1,apellido+inicial,2026-08-27
Paredes R.,0000-0002-9943-2510,2-s2.0-105011860926,10.3390/data10070095,apellido+inicial,2026-08-27
Paredes R.,0000-0002-9943-2510,2-s2.0-105011861852,10.3390/data10070093,apellido+inicial,2026-08-27
Mujika I.,0000-0002-8143-9132,2-s2.0-105012780820,10.1123/ijspp.2025-0185,apellido+inicial,2026-08-27
Figueroa-Bustos A.,0000-0002-1748-1037,2-s2.0-105012781743,10.7764/cdi.61.87916,apellido+inicial,2026-08-27
Yanine F.F.,0000-0003-1086-0840,2-s2.0-105012953195,10.1007/s00202-025-03312-3,apellido+inicial,2026-08-27
López Arana S.,0000-0002-4312-1318,2-s2.0-105012964277,10.64159/rchnut-52-3-1,apellido+inicial,2026-08-27
Núñez-Lisboa M.,0000-0003-0051-9833,2-s2.0-105013085189,10.1002/pri.70098,apellido+inicial,2026-08-27
Sanchez-Duque C.G.,0009-0000-9651-2841,2-s2.0-105013179657,10.1080/08929092.2025.2527042,apellido+inicial,2026-08-27
Lorca-Ponce E.,0000-0003-1881-2798,2-s2.0-105013199742,10.3390/ijms26157440,apellido+inicial,2026-08-27
Castiglioni C.,0000-0002-1981-7550,2-s2.0-105013525045,10.1177/22143602251320267,apellido+inicial,2026-08-27
