nombre_en_fuente,orcid,nombre_declarado_en_orcid,titulares_que_coinciden_con_la_firma,firmas_que_coinciden_con_el_titular,tipo,severidad,consecuencia,resolucion,fecha_consulta
Arenas-Massa A.,0000-0003-3188-0189,Angela Arenas Massa,1,1,V2-04_candidato_orcid_por_afiliacion,media,"coincide el nombre y la institución, pero NO hay publicación compartida que lo respalde",PENDIENTE_REVISION_HUMANA,2026-08-04
Barbieri G.G.,0009-0006-1130-7157,Giuseppina Barbieri,1,1,V2-04_candidato_orcid_por_afiliacion,media,"coincide el nombre y la institución, pero NO hay publicación compartida que lo respalde",PENDIENTE_REVISION_HUMANA,2026-08-04
Busquets P.,0000-0002-1041-0543,Pilar Busquets,1,1,V2-04_candidato_orcid_por_afiliacion,media,"coincide el nombre y la institución, pero NO hay publicación compartida que lo respalde",PENDIENTE_REVISION_HUMANA,2026-08-04
Caffarena P.,0000-0002-2609-6413,Paula Caffarena,1,1,V2-04_candidato_orcid_por_afiliacion,media,"coincide el nombre y la institución, pero NO hay publicación compartida que lo respalde",PENDIENTE_REVISION_HUMANA,2026-08-04
Escobar-González S.,0000-0003-2786-1487,Sebastián Escobar González,1,1,V2-04_candidato_orcid_por_afiliacion,media,"coincide el nombre y la institución, pero NO hay publicación compartida que lo respalde",PENDIENTE_REVISION_HUMANA,2026-08-04
Ferre Contreras A.,0000-0003-1770-244X,Andrés Alberto Ferre Contreras,1,1,V2-04_candidato_orcid_por_afiliacion,media,"coincide el nombre y la institución, pero NO hay publicación compartida que lo respalde",PENDIENTE_REVISION_HUMANA,2026-08-04
Giordanino E.,0000-0001-7380-4753,Elian Facundo Giordanino,1,2,V2-04_candidato_orcid_por_afiliacion,media,"coincide el nombre y la institución, pero NO hay publicación compartida que lo respalde",PENDIENTE_REVISION_HUMANA,2026-08-04
Giordanino E.F.,0000-0001-7380-4753,Elian Facundo Giordanino,1,2,V2-04_candidato_orcid_por_afiliacion,media,"coincide el nombre y la institución, pero NO hay publicación compartida que lo respalde",PENDIENTE_REVISION_HUMANA,2026-08-04
Jeria-Espinoza V.,0009-0000-4168-198X,Valentina De los Angeles Jeria Espinoza,1,1,V2-04_candidato_orcid_por_afiliacion,media,"coincide el nombre y la institución, pero NO hay publicación compartida que lo respalde",PENDIENTE_REVISION_HUMANA,2026-08-04
Landskron G.,0000-0002-7953-6769,Glauben Landskron,1,1,V2-04_candidato_orcid_por_afiliacion,media,"coincide el nombre y la institución, pero NO hay publicación compartida que lo respalde",PENDIENTE_REVISION_HUMANA,2026-08-04
López V.,0000-0003-1323-7843,Valentin Lopez,1,1,V2-04_candidato_orcid_por_afiliacion,media,"coincide el nombre y la institución, pero NO hay publicación compartida que lo respalde",PENDIENTE_REVISION_HUMANA,2026-08-04
López-Soto P.,0000-0003-2559-6464,Paulo López-Soto,1,1,V2-04_candidato_orcid_por_afiliacion,media,"coincide el nombre y la institución, pero NO hay publicación compartida que lo respalde",PENDIENTE_REVISION_HUMANA,2026-08-04
Mendez-Rebolledo G.,0000-0001-7948-3807,Guillermo Mendez-Rebolledo,1,1,V2-04_candidato_orcid_por_afiliacion,media,"coincide el nombre y la institución, pero NO hay publicación compartida que lo respalde",PENDIENTE_REVISION_HUMANA,2026-08-04
Ortiz F.,0000-0001-7665-7488,Francisca Andrea Ortiz,1,1,V2-04_candidato_orcid_por_afiliacion,media,"coincide el nombre y la institución, pero NO hay publicación compartida que lo respalde",PENDIENTE_REVISION_HUMANA,2026-08-04
Poblete Alday P.,0000-0001-6191-8518,Patricia Poblete Alday,1,1,V2-04_candidato_orcid_por_afiliacion,media,"coincide el nombre y la institución, pero NO hay publicación compartida que lo respalde",PENDIENTE_REVISION_HUMANA,2026-08-04
Ramos-Alarcón M.B.,0009-0009-5482-9467,Maria Beatriz Ramos Alarcon,1,1,V2-04_candidato_orcid_por_afiliacion,media,"coincide el nombre y la institución, pero NO hay publicación compartida que lo respalde",PENDIENTE_REVISION_HUMANA,2026-08-04
Sánchez M.,0000-0003-3976-6997,Macarena Sanchez,1,1,V2-04_candidato_orcid_por_afiliacion,media,"coincide el nombre y la institución, pero NO hay publicación compartida que lo respalde",PENDIENTE_REVISION_HUMANA,2026-08-04
Sánchez-Duque C.,0009-0000-9651-2841,CARMEN GLORIA SANCHEZ-DUQUE,1,1,V2-04_candidato_orcid_por_afiliacion,media,"coincide el nombre y la institución, pero NO hay publicación compartida que lo respalde",PENDIENTE_REVISION_HUMANA,2026-08-04
Venegas M.,0000-0002-1944-4686,Mauricio Venegas,1,1,V2-04_candidato_orcid_por_afiliacion,media,"coincide el nombre y la institución, pero NO hay publicación compartida que lo respalde",PENDIENTE_REVISION_HUMANA,2026-08-04
de la Fuente M.,0000-0003-0577-7604,Marjorie De la Fuente,1,1,V2-04_candidato_orcid_por_afiliacion,media,"coincide el nombre y la institución, pero NO hay publicación compartida que lo respalde",PENDIENTE_REVISION_HUMANA,2026-08-04
