nombre_en_fuente,orcid,veredicto,detalle,dois_atribuidos,dois_en_registro,dois_coincidentes,afiliacion_institucional_declarada,afiliaciones_declaradas,fecha_consulta,tipo,severidad,consecuencia,resolucion
Abara J.F.,0000-0001-8190-2361,sin_coincidencia,el titular declara 4 obras con DOI y ninguna coincide con las atribuidas a esta firma,1,4,0,True,Universidad Finis Terrae,2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
Arenas-Massa A.,0000-0003-3188-0189,sin_coincidencia,el titular declara 19 obras con DOI y ninguna coincide con las atribuidas a esta firma,1,19,0,True,Universidad de Talca | Universidad Finis Terrae | Finis Terrae University,2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
Arroyo A.,0000-0003-0157-5175,sin_coincidencia,el titular declara 140 obras con DOI y ninguna coincide con las atribuidas a esta firma,4,140,0,False,,2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
Benites M.,0000-0001-6366-534X,sin_coincidencia,el titular declara 7 obras con DOI y ninguna coincide con las atribuidas a esta firma,1,7,0,False,Clínica Las Condes,2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
Busquets P.,0000-0002-1041-0543,sin_coincidencia,el titular declara 2 obras con DOI y ninguna coincide con las atribuidas a esta firma,1,2,0,True,Universidad Finis Terrae,2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
Caffarena P.,0000-0002-2609-6413,sin_coincidencia,el titular declara 7 obras con DOI y ninguna coincide con las atribuidas a esta firma,2,7,0,True,Universidad Finis Terrae,2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
Castillo N.,0000-0002-9377-136X,sin_coincidencia,el titular declara 1 obras con DOI y ninguna coincide con las atribuidas a esta firma,1,1,0,False,,2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
De la Fuente M.,0000-0003-0577-7604,sin_coincidencia,el titular declara 4 obras con DOI y ninguna coincide con las atribuidas a esta firma,2,4,0,True,Universidad Finis Terrae | Clínica Las Condes,2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
Dominguez A.,0000-0002-4277-3445,sin_coincidencia,el titular declara 13 obras con DOI y ninguna coincide con las atribuidas a esta firma,1,13,0,False,,2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
Dreyse J.,0000-0002-8201-5956,sin_coincidencia,el titular declara 4 obras con DOI y ninguna coincide con las atribuidas a esta firma,16,4,0,False,,2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
