nombre_scopus,firma_corta,auth_id,orcid_scopus_author_search,en_poblacion_uft,orcid_ya_asignado_en_el_proyecto,resolucion
"Candia-Véjar, Alfredo",Candia-Véjar A.,12760430500,0000-0003-2953-6522,True,0000-0003-2953-6522,coincide
"Bustos Arriagada, Edson",Bustos Arriagada E.,57189844110,0000-0003-4698-1425,False,,sin_firma_uft_en_el_proyecto
"Cortés, Pablo",Cortés P.,57217273295,0000-0003-3076-0804,False,,sin_firma_uft_en_el_proyecto
"Rocco-Toloza, Víctor",Rocco-Toloza V.,60608355200,0000-0002-5555-9720,True,0000-0002-5555-9720,coincide
"Bugueño, Rodrigo Andrés Poyanco",Bugueño R.A.P.,57221380459,0000-0001-7767-6760,False,,sin_firma_uft_en_el_proyecto
"Soto, Leonardo",Soto L.,57194392189,0000-0002-0829-8767,True,0000-0002-0829-8767,coincide
"Santibañez, David P.",Santibañez D.P.,57194413591,0000-0001-7840-9138,False,,sin_firma_uft_en_el_proyecto
"Tiscornia, Caterina",Tiscornia C.,58290236200,0000-0002-0138-083X,True,0000-0002-0138-083X,coincide
"Sanhueza, María Carolina",Sanhueza M.C.,35776964900,0000-0003-3705-1613,False,,sin_firma_uft_en_el_proyecto
"Letelier Widow, Gonzalo Letelier",Letelier Widow G.L.,56976276800,0000-0002-1625-2216,False,,sin_firma_uft_en_el_proyecto
"Simón, Layla Y.",Simón L.Y.,55554207700,0000-0002-0130-3519,False,,sin_firma_uft_en_el_proyecto
"Lehmann, Rodrigo Barcia",Lehmann R.B.,24923293900,0000-0003-1021-446X,False,,sin_firma_uft_en_el_proyecto
"Galleguillos, Renato B.",Galleguillos R.B.,36025215000,0000-0001-6065-5218,True,0000-0001-6065-5218,coincide
"Contreras-Contreras, Gabriela",Contreras-Contreras G.,58508426800,0009-0001-7376-4656,True,0009-0001-7376-4656,coincide
"Díaz, F. R.",Díaz F.R.,35195498000,0000-0003-4763-074X,False,,sin_firma_uft_en_el_proyecto
"Hartmann Schatloff, Dan",Hartmann Schatloff D.,58612624500,0000-0002-7140-4294,True,0000-0002-7140-4294,coincide
"Fernández Abara, Joaquín Fernández",Fernández Abara J.F.,57190811072,0000-0001-8190-2361,False,,sin_firma_uft_en_el_proyecto
"Rego, Thomas",Rego T.,58179849100,0000-0003-2271-4568,True,0000-0003-2271-4568,coincide
"Opitz, Tania",Opitz T.,55035643200,0000-0001-9639-4267,False,,sin_firma_uft_en_el_proyecto
"Fermín-González, Marlene",Fermín-González M.,57214888416,0000-0003-1050-7799,True,0000-0003-1050-7799,coincide
"Gaete, Marcia",Gaete M.,8341795800,0000-0003-1846-2417,True,0000-0003-1846-2417,coincide
"Amarouch García, Ismael Amarouch",Amarouch García I.A.,57339772200,0000-0003-2444-8179,False,,sin_firma_uft_en_el_proyecto
"Giglio, Andrés",Giglio A.,58509256700,0000-0002-0533-4531,True,0000-0002-0533-4531,coincide
"Esis Villarroel, Ivette S.",Esis Villarroel I.S.,57458483800,0000-0002-2379-8380,True,0000-0002-2379-8380,coincide
"Ossa-Cox, Matías",Ossa-Cox M.,58555985000,0009-0006-4778-3235,True,0009-0006-4778-3235,coincide
"Yanine, Franco Fernando",Yanine F.F.,55785548400,0000-0003-1086-0840,True,0000-0003-1086-0840,coincide
"Bastías, Jaime",Bastías J.,57810465500,0000-0001-8264-734X,True,,nuevo
"Letelier, Rene F.",Letelier R.F.,37102053400,0000-0002-1571-460X,False,,sin_firma_uft_en_el_proyecto
"Fortuny, Esteban",Fortuny E.,59254638800,0000-0002-0864-5669,True,0000-0002-0864-5669,coincide
"Chavez-Reyes, Arturo",Chavez-Reyes A.,7801313307,0000-0002-6655-815X,True,0000-0002-6655-815X,coincide
"Barros, Joaquín Reyes",Barros J.R.,57218609589,0000-0002-0665-6452,False,,sin_firma_uft_en_el_proyecto
"Andrade, Megumi Andrade",Andrade M.A.,7405532126,0000-0002-6004-1301,False,,sin_firma_uft_en_el_proyecto
"Ayala Munita, MatÍas León",Ayala Munita M.L.,55334978800,0000-0002-9372-1645,False,,sin_firma_uft_en_el_proyecto
"Herrero, Joaquín",Herrero J.,59516178700,0009-0001-4210-1016,True,0009-0001-4210-1016,coincide
"Carvajal, Cristõbal",Carvajal C.,53163308500,0000-0002-1712-7396,True,0000-0002-1712-7396,coincide
"Maldonado-Agurto, Rodrigo",Maldonado-Agurto R.,50461880700,0000-0002-8326-9800,True,0000-0002-8326-9800,coincide
"Crisóstomo Flores, Paz",Crisóstomo Flores P.,57713608100,0000-0002-9761-2112,True,0000-0002-9761-2112,coincide
"Mardones Falcone, Gonzalo",Mardones Falcone G.,58931723900,0000-0003-3943-8731,False,,sin_firma_uft_en_el_proyecto
"Fortuny, Esteban Fortuny",Fortuny E.F.,57203373183,0000-0002-0864-5669,False,,sin_firma_uft_en_el_proyecto
"Zambrano-Matamala, Carolina Del C.",Zambrano-Matamala C.D.C.,54404332000,0000-0002-9538-1816,False,,sin_firma_uft_en_el_proyecto
"Sanchez-Duque, Carmen Gloria",Sanchez-Duque C.G.,60042606100,0009-0000-9651-2841,True,0009-0000-9651-2841,coincide
"Mariotti-Celis, María S.",Mariotti-Celis M.S.,55386795700,0000-0003-1357-812X,True,0000-0003-1357-812X,coincide
"Saldías, Ignacio Chuecas",Saldías I.C.,54880531300,0000-0002-9558-2685,False,,sin_firma_uft_en_el_proyecto
"Quezada, Mauricio",Quezada M.,56013972600,0000-0003-1637-1909,True,0000-0003-1637-1909,coincide
"Fuentes Anabalón, Edgardo",Fuentes Anabalón E.,57190014389,0000-0001-9656-3163,False,,sin_firma_uft_en_el_proyecto
"Bolt, Alfredo",Bolt A.,56727978700,0000-0003-1901-9804,False,,sin_firma_uft_en_el_proyecto
"Valenzuela, Rodolfo",Valenzuela R.,58862136700,0009-0007-8023-3400,True,0009-0007-8023-3400,coincide
"Phillips, Jaime Phillips",Phillips J.P.,57219144357,0000-0002-4054-3187,False,,sin_firma_uft_en_el_proyecto
"García-Matte, Nicolás",García-Matte N.,59171253500,0000-0001-8712-0408,True,0000-0001-8712-0408,coincide
"Paredes, Rodrigo",Paredes R.,13607125500,0000-0002-9943-2510,True,0000-0002-9943-2510,coincide
